order,subset,subset_str,target_index,target,ei_joint,ei_joint_raw,bias_correction,delta_K,null_mean,null_std,z,p_empirical
2,"[18, 24]","18,24",27,component_28,0.015938177236384462,0.015938177236384462,0.0002443195699983747,3.8574090849702314e-05,-1.6167268439408996e-05,3.5225626461012855e-05,1.5540208873133357,0.23809523809523808
2,"[18, 24]","18,24",29,component_30,0.030602605897254304,0.030602605897254304,0.0002443195699983747,-6.80035779055295e-05,-2.5395442118955944e-05,3.9052099658669275e-05,-1.0910587691567273,0.14285714285714285
2,"[18, 24]","18,24",33,component_34,0.048556367219332444,0.048556367219332444,0.0002443195699983747,0.00043911926027802306,-1.2561748128852468e-05,2.695506479820036e-05,16.75681404546398,0.047619047619047616
2,"[18, 24]","18,24",41,component_42,0.029866832043909844,0.029866832043909844,0.0002443195699983747,-6.354721106267142e-05,-2.660493040099971e-05,3.9914495537559626e-05,-0.9255354518237351,0.23809523809523808
2,"[18, 24]","18,24",44,component_45,0.059459428882066616,0.059459428882066616,0.0002443195699983747,-8.585737483747524e-05,-4.2932782534762915e-05,4.54006108905916e-05,-0.9454628794787345,0.2857142857142857
2,"[18, 24]","18,24",56,component_57,0.028314059257190934,0.028314059257190934,0.0002443195699983747,-9.36968744934541e-05,-1.7564440140985378e-05,3.596915720864114e-05,-2.1166032306750533,0.14285714285714285
2,"[18, 24]","18,24",57,component_58,0.01741781251636474,0.01741781251636474,0.0002443195699983747,8.336575365876231e-05,-3.493251651261289e-05,3.9722451031388314e-05,2.9781211153837663,0.19047619047619047
2,"[18, 24]","18,24",58,component_59,0.01672449670749055,0.01672449670749055,0.0002443195699983747,5.972162060713729e-05,-5.7045562810909226e-05,5.250801354598109e-05,2.223797388865109,0.5238095238095238
2,"[18, 29]","18,29",7,component_08,0.03641179669650442,0.03641179669650442,0.0002443195699983747,0.0010226491986945752,-4.2803943732753115e-05,4.738131187049615e-05,22.486780132628088,0.047619047619047616
2,"[18, 29]","18,29",11,component_12,0.03658461951153065,0.03658461951153065,0.0002443195699983747,-2.598853753879582e-05,-2.0906451960824193e-05,3.664863183699629e-05,-0.1386705402967139,0.2857142857142857
2,"[18, 29]","18,29",16,component_17,0.05118041391601961,0.05118041391601961,0.0002443195699983747,0.00018659731977921368,-1.7707918937187258e-05,3.8990902346421485e-05,5.239818173511742,0.047619047619047616
2,"[18, 29]","18,29",27,component_28,0.024911226534447536,0.024911226534447536,0.0002443195699983747,0.0005880167828705672,-2.6494190939665355e-05,4.5651900281705813e-05,13.460797250897505,0.047619047619047616
2,"[18, 29]","18,29",33,component_34,0.01751458341881099,0.01751458341881099,0.0002443195699983747,-5.5342250530679427e-05,-2.8876626139256914e-05,3.870196944437514e-05,-0.6838314631367931,0.2857142857142857
2,"[18, 29]","18,29",36,component_37,0.017725645912793565,0.017725645912793565,0.0002443195699983747,0.0003856108443125762,-4.0654815457683706e-05,5.071807594551584e-05,8.404610226700596,0.047619047619047616
2,"[18, 29]","18,29",37,component_38,0.01884451547637278,0.01884451547637278,0.0002443195699983747,-7.739597941999743e-05,-2.45543641122161e-05,3.914565067066662e-05,-1.349871937302543,0.14285714285714285
2,"[18, 29]","18,29",41,component_42,0.024949261486247945,0.024949261486247945,0.0002443195699983747,-8.468547983805572e-05,-3.453496995154666e-05,4.844742560610191e-05,-1.0351532462065982,0.2857142857142857
2,"[18, 29]","18,29",42,component_43,0.01749318048046606,0.01749318048046606,0.0002443195699983747,0.00036087202756785244,-1.955178223721066e-05,3.4467490470568375e-05,11.037177485547002,0.047619047619047616
2,"[18, 29]","18,29",43,component_44,0.08786042467960226,0.08786042467960226,0.0002443195699983747,-7.734721807924061e-05,-4.9280042117622326e-05,5.070318523854253e-05,-0.5535584368037443,0.42857142857142855
2,"[18, 29]","18,29",44,component_45,0.09231290810337395,0.09231290810337395,0.0002443195699983747,0.002819137086578355,-4.141069959272774e-05,4.4386521164492026e-05,64.4463163844307,0.047619047619047616
2,"[18, 29]","18,29",56,component_57,0.02754516166431544,0.02754516166431544,0.0002443195699983747,7.65121959385058e-05,-2.821413859677502e-05,4.458670222555504e-05,2.3488244096971256,0.23809523809523808
2,"[18, 29]","18,29",57,component_58,0.02771104045928203,0.02771104045928203,0.0002443195699983747,0.0007011641799813395,-1.9366975209227442e-05,3.3777616402177644e-05,21.331616376107412,0.047619047619047616
2,"[18, 29]","18,29",58,component_59,0.017418242334037767,0.017418242334037767,0.0002443195699983747,0.00012472549162593008,-3.872255455424017e-05,5.149818987000434e-05,3.173860024842781,0.047619047619047616
2,"[18, 29]","18,29",59,component_60,0.013638303154574868,0.013638303154574868,0.0002443195699983747,-7.101162387020653e-05,-2.058501445876645e-05,3.4598408375553286e-05,-1.4574835022489288,0.14285714285714285
2,"[18, 32]","18,32",7,component_08,0.024212394422577638,0.024212394422577638,0.0002443195699983747,-3.911356111135911e-06,-2.2896837813501747e-05,4.068990648328672e-05,0.46658946513342514,0.3333333333333333
2,"[18, 32]","18,32",11,component_12,0.0163330973659266,0.0163330973659266,0.0002443195699983747,4.8030047277571736e-05,-1.992612165979787e-05,4.240738944832242e-05,1.6024605574974355,0.23809523809523808
2,"[18, 32]","18,32",16,component_17,0.06473898184279041,0.06473898184279041,0.0002443195699983747,0.0020031815616488036,-1.4719010595111217e-05,3.264731704790326e-05,61.80907819417621,0.047619047619047616
2,"[18, 32]","18,32",19,component_20,0.02519808396864941,0.02519808396864941,0.0002443195699983747,-5.318269703839806e-06,-2.553597272672893e-05,3.687008235121078e-05,0.548349820060144,0.47619047619047616
2,"[18, 32]","18,32",21,component_22,0.018966916085580116,0.018966916085580116,0.0002443195699983747,0.0002451296594633452,-5.0404455526511755e-05,4.652326660574601e-05,6.352393899902034,0.047619047619047616
2,"[18, 32]","18,32",26,component_27,0.013540345295815923,0.013540345295815923,0.0002443195699983747,3.1207764268566945e-05,-1.845198953887938e-05,3.0124359267570634e-05,1.6484916198999746,0.2857142857142857
2,"[18, 32]","18,32",27,component_28,0.03552302507529861,0.03552302507529861,0.0002443195699983747,0.0007651578985634414,-3.785669696005945e-05,4.680128582267597e-05,17.157960116010905,0.047619047619047616
2,"[18, 32]","18,32",29,component_30,0.031514934491132005,0.031514934491132005,0.0002443195699983747,0.00011287398240338031,-3.6400502768104984e-05,4.096265433691088e-05,3.644160457565274,0.09523809523809523
2,"[18, 32]","18,32",33,component_34,0.017313806571203072,0.017313806571203072,0.0002443195699983747,2.32086406859143e-05,-1.6928247056167195e-05,3.263391092517196e-05,1.2299135042108043,0.2857142857142857
2,"[18, 32]","18,32",36,component_37,0.03596384905383877,0.03596384905383877,0.0002443195699983747,0.0006044301544786343,-2.8692556027790328e-05,4.7752378903333317e-05,13.258453820448931,0.047619047619047616
2,"[18, 32]","18,32",41,component_42,0.02492748121847474,0.02492748121847474,0.0002443195699983747,-0.00010646574761126112,-2.7659762784042914e-05,4.321300055699806e-05,-1.8236638005100554,0.09523809523809523
2,"[18, 32]","18,32",42,component_43,0.029529170446989828,0.029529170446989828,0.0002443195699983747,0.00039661167915232276,-2.739697161992904e-05,4.420749376550352e-05,9.5913297646183,0.047619047619047616
2,"[18, 32]","18,32",43,component_44,0.02286616566219253,0.02286616566219253,0.0002443195699983747,-6.622216864801689e-07,-4.94912131266024e-05,4.440756863278723e-05,1.099564622506051,0.6666666666666666
2,"[18, 32]","18,32",44,component_45,0.060868625793868605,0.060868625793868605,0.0002443195699983747,0.0004093591655362286,-4.040745124514338e-05,4.059218790130194e-05,11.080127483518726,0.047619047619047616
2,"[18, 32]","18,32",56,component_57,0.029027318435772283,0.029027318435772283,0.0002443195699983747,4.504810513984367e-05,-3.6278423677978904e-05,5.0058228167487577e-05,1.624638581807486,0.3333333333333333
2,"[18, 32]","18,32",57,component_58,0.01784130513108044,0.01784130513108044,0.0002443195699983747,1.0348885277691733e-06,-2.3946043220233667e-05,4.157741460957505e-05,0.6008293681216501,0.6190476190476191
2,"[18, 32]","18,32",58,component_59,0.01660494305346353,0.01660494305346353,0.0002443195699983747,-6.404658149442716e-06,-4.5929628394622463e-05,4.598012560520062e-05,0.8596098798109686,0.7142857142857143
2,"[18, 35]","18,35",0,component_01,0.01533998930874909,0.01533998930874909,0.0002443195699983747,0.00018957861939928634,-3.367622379842283e-05,4.624973021240632e-05,4.827159902822999,0.047619047619047616
2,"[18, 35]","18,35",5,component_06,0.017957471950725373,0.017957471950725373,0.0002443195699983747,-0.0001573925375765589,-3.415799880950313e-05,4.1667578438041646e-05,-2.957564211472034,0.047619047619047616
2,"[18, 35]","18,35",7,component_08,0.02519232938851277,0.02519232938851277,0.0002443195699983747,0.0002523171725856213,-3.817834956237202e-05,4.339082988804228e-05,6.694859787137848,0.047619047619047616
2,"[18, 35]","18,35",8,component_09,0.020957903876714815,0.020957903876714815,0.0002443195699983747,-0.00011725747965975891,-2.9885577906807193e-05,4.452175672333387e-05,-1.9624540490595705,0.14285714285714285
2,"[18, 35]","18,35",15,component_16,0.013868764032964215,0.013868764032964215,0.0002443195699983747,-8.503138134624555e-05,-1.1105202883839784e-05,2.6414982054246007e-05,-2.798645795427398,0.047619047619047616
2,"[18, 35]","18,35",16,component_17,0.044691059698736955,0.044691059698736955,0.0002443195699983747,-0.00013912047214708484,-1.1100549627658458e-05,2.5345962220146672e-05,-5.0509000766073715,0.047619047619047616
2,"[18, 35]","18,35",20,component_21,0.01604085689380059,0.01604085689380059,0.0002443195699983747,-5.7442939546754196e-05,-2.1338852147139132e-05,3.824250713017459e-05,-0.9440826480523229,0.19047619047619047
2,"[18, 35]","18,35",23,component_24,0.012288168286265787,0.012288168286265787,0.0002443195699983747,0.00021579661904510584,-2.89372712911312e-05,4.0316617100428156e-05,6.070298252618968,0.047619047619047616
2,"[18, 35]","18,35",25,component_26,0.017050013823482528,0.017050013823482528,0.0002443195699983747,0.00019765918947836636,-1.671834031427164e-05,3.38271528575409e-05,6.33743935516725,0.047619047619047616
2,"[18, 35]","18,35",27,component_28,0.01632138369368602,0.01632138369368602,0.0002443195699983747,0.00011464860963455656,-1.1017872947866058e-05,2.3266101840560674e-05,5.401269342135497,0.047619047619047616
2,"[18, 35]","18,35",29,component_30,0.03334893671901985,0.03334893671901985,0.0002443195699983747,0.0004991351996718116,-2.3043307040626003e-05,3.573550085653185e-05,14.612318120539008,0.047619047619047616
2,"[18, 35]","18,35",33,component_34,0.020321488769339566,0.020321488769339566,0.0002443195699983747,0.0003676334538094371,-3.422721633295926e-05,4.642087412692344e-05,8.656895797430126,0.047619047619047616
2,"[18, 35]","18,35",40,component_41,0.019487259823579288,0.019487259823579288,0.0002443195699983747,0.0003007294869993918,-2.9790358460141304e-05,4.093869461838142e-05,8.073531619426138,0.047619047619047616
2,"[18, 35]","18,35",41,component_42,0.02929934163669267,0.02929934163669267,0.0002443195699983747,-0.0001515918190921825,-2.1951230252583517e-05,4.045854297062546e-05,-3.2042821940899673,0.047619047619047616
2,"[18, 35]","18,35",44,component_45,0.05795916566037642,0.05795916566037642,0.0002443195699983747,-0.00010424610814879082,-4.73970224141772e-05,4.311275793828295e-05,-1.3186139892974276,0.19047619047619047
2,"[18, 35]","18,35",45,component_46,0.009716940241196922,0.009716940241196922,0.0002443195699983747,-7.647890442049297e-05,-1.1638693275657818e-05,2.7541081504568305e-05,-2.354308821680803,0.09523809523809523
2,"[18, 35]","18,35",47,component_48,0.016050252190902843,0.016050252190902843,0.0002443195699983747,-9.77559730293634e-05,-3.3624133793535064e-05,4.554198187112535e-05,-1.4081916640630296,0.19047619047619047
2,"[18, 35]","18,35",56,component_57,0.02752591444090244,0.02752591444090244,0.0002443195699983747,9.570763046238759e-05,-3.0455182244023253e-05,3.9811859389110685e-05,3.16897564299443,0.19047619047619047
2,"[18, 35]","18,35",57,component_58,0.02015516377577026,0.02015516377577026,0.0002443195699983747,-0.00015333543814078157,-3.009895938898907e-05,3.400342976822487e-05,-3.6242367194074374,0.047619047619047616
2,"[18, 35]","18,35",58,component_59,0.024348893604920072,0.024348893604920072,0.0002443195699983747,-0.00014363161643875244,-3.297140027254598e-05,4.781813964875503e-05,-2.3141890709060147,0.047619047619047616
2,"[24, 29]","24,29",0,component_01,0.012897045171394422,0.012897045171394422,0.0002443195699983747,-6.82608185539578e-05,-3.7144527310671184e-05,4.8588182869662206e-05,-0.6404086221284723,0.3333333333333333
