source,target,source_index,target_index,ei
component_23,component_17,22,16,0.009380577114300515
component_09,component_11,8,10,0.009379497093340738
component_49,component_07,48,6,0.009379426305654803
component_24,component_23,23,22,0.009377148151787473
component_27,component_58,26,57,0.009376053801166684
component_59,component_24,58,23,0.009375096627564528
component_58,component_13,57,12,0.009374135019044605
component_59,component_29,58,28,0.009369113777102811
component_38,component_56,37,55,0.00936714671638006
component_41,component_18,40,17,0.00936125942079613
component_60,component_02,59,1,0.009360744730297021
component_25,component_36,24,35,0.009360630676074955
component_17,component_02,16,1,0.009352045436994416
component_12,component_49,11,48,0.009351511000805335
component_16,component_05,15,4,0.009343526949125991
component_34,component_39,33,38,0.009342058653592833
component_15,component_39,14,38,0.00933560960991553
component_01,component_13,0,12,0.009334549194928154
component_35,component_21,34,20,0.009334428506303727
component_36,component_12,35,11,0.009333836819098718
component_03,component_34,2,33,0.009332055397322403
component_13,component_48,12,47,0.009329728377489133
component_05,component_38,4,37,0.009328084107128376
component_57,component_11,56,10,0.00932799729389755
component_35,component_42,34,41,0.009325370966444702
component_11,component_51,10,50,0.00932329245618968
component_35,component_15,34,14,0.009321809328000974
component_32,component_31,31,30,0.009319567892346114
component_23,component_31,22,30,0.009319444840687474
component_24,component_11,23,10,0.00931846028585026
component_27,component_23,26,22,0.009315034700342117
component_54,component_40,53,39,0.009311106108274014
component_21,component_53,20,52,0.009309297940485628
component_22,component_49,21,48,0.009308402283219053
component_06,component_07,5,6,0.009304352951920336
component_47,component_45,46,44,0.009302605214083215
component_11,component_54,10,53,0.009300458869648587
component_31,component_23,30,22,0.009299611308706712
component_08,component_17,7,16,0.009299611052582701
component_59,component_01,58,0,0.009294236926395083
component_44,component_04,43,3,0.009292530229886076
component_21,component_01,20,0,0.009291831200723966
component_53,component_11,52,10,0.009291720550703264
component_07,component_37,6,36,0.009286454930713006
component_04,component_49,3,48,0.009284492944896527
component_32,component_54,31,53,0.009281643886890123
component_34,component_43,33,42,0.00928043915272525
component_53,component_08,52,7,0.009276537156464926
component_44,component_59,43,58,0.009276366606600916
component_38,component_17,37,16,0.009274006885190644
component_26,component_44,25,43,0.009270088130140408
component_60,component_47,59,46,0.009269162195692182
component_04,component_50,3,49,0.00926749187934739
component_36,component_04,35,3,0.009267392977347022
component_38,component_01,37,0,0.009264520030995982
component_30,component_59,29,58,0.009263227246873118
component_32,component_56,31,55,0.00926260006563373
component_35,component_51,34,50,0.009261906744469695
component_13,component_53,12,52,0.009261213137894408
component_57,component_18,56,17,0.009259993767707364
component_05,component_53,4,52,0.009259113101256933
component_35,component_54,34,53,0.00925500386733269
component_45,component_46,44,45,0.009254391469343926
component_31,component_30,30,29,0.009252974025366623
component_05,component_59,4,58,0.00925102463970573
component_47,component_15,46,14,0.009250929250869788
component_24,component_29,23,28,0.009250480125617688
component_15,component_28,14,27,0.009250334215535005
component_55,component_15,54,14,0.00924789484002897
component_15,component_27,14,26,0.009245800151592931
component_33,component_18,32,17,0.00924483159245737
component_12,component_58,11,57,0.009244705325600844
component_44,component_40,43,39,0.009244200783832035
component_43,component_08,42,7,0.009243632861394069
component_01,component_31,0,30,0.009241522782967415
component_30,component_25,29,24,0.009239995274126223
component_60,component_29,59,28,0.009237272645253647
component_07,component_25,6,24,0.009234681957036805
component_12,component_23,11,22,0.009234430063703947
component_31,component_29,30,28,0.009231505470359114
component_03,component_14,2,13,0.00923016504444707
component_50,component_24,49,23,0.00922398349859943
component_17,component_06,16,5,0.009223714443558961
component_59,component_38,58,37,0.009221850884532312
component_36,component_45,35,44,0.009219013449826452
component_58,component_39,57,38,0.009217065052856466
component_59,component_02,58,1,0.009211926747350496
component_28,component_18,27,17,0.00921033269692284
component_50,component_30,49,29,0.009209726272899843
component_13,component_45,12,44,0.009209647217777395
component_45,component_44,44,43,0.009207547843122388
component_54,component_48,53,47,0.00920751565840483
component_35,component_41,34,40,0.00920545749279178
component_12,component_26,11,25,0.009202464156207846
component_57,component_50,56,49,0.009202332754534304
component_41,component_14,40,13,0.009201964947986419
component_24,component_04,23,3,0.009201344340298956
component_19,component_60,18,59,0.00920048315038624
component_14,component_15,13,14,0.009200306199107278
component_01,component_48,0,47,0.009196006719261351
component_26,component_23,25,22,0.009195726379039648
component_05,component_16,4,15,0.00919416641995019
