split,component,rmse,mae,corr
test,component_09,0.691132406770002,0.5391405903556793,0.5765400144373785
test,component_10,0.7009054046984584,0.5575907227804885,0.5002751196785636
test,component_11,0.6486274660657279,0.5132711502599008,0.6360333643732967
test,component_12,0.7628154447094345,0.6202545664244403,0.4318823964827118
test,component_13,0.7541593284183233,0.6148671652174277,0.49367585755446014
test,component_14,0.7140490217218344,0.5746358978477912,0.5158354018875143
test,component_15,0.6383939871250746,0.5183820052809128,0.45181113048841604
test,component_16,0.728538703036295,0.5934743044372831,0.5220993185231806
test,component_17,0.7420054588345744,0.5923713106495773,0.4863736345136434
test,component_18,0.7470138058782567,0.6132146737962995,0.3904856891720006
test,component_19,0.7174932062651477,0.5673125043023184,0.4197399652383256
test,component_20,0.6879205449646216,0.5460493469029136,0.43214995950510526
test,component_21,0.6848242614030519,0.551374255238439,0.4831790373698003
test,component_22,0.7727162508206564,0.6223181944538965,0.4138234139860716
test,component_23,0.7753833730222123,0.6214308883835105,0.37707486697193376
test,component_24,0.7534272627506807,0.6033540221435372,0.3991096703728599
test,component_25,0.7423892392759841,0.5958784465419029,0.3972076961832499
test,component_26,0.6751104311362444,0.5321756330232741,0.5309891767733892
test,component_27,0.7568801609055379,0.5935835693458025,0.41434297186615227
test,component_28,0.7518620325727123,0.600871141818267,0.41427290419066076
test,component_29,0.645929198796148,0.5199259113868391,0.2902957741458474
test,component_30,0.8024658204844488,0.6276805009845845,0.30476251516729147
test,component_31,0.5672274615517399,0.45415789091792014,0.3260043930932467
test,component_32,0.7992483569754278,0.6398795840018845,0.22100898915219439
test,component_33,0.7885517249456689,0.6311424752260505,0.34081047732704123
test,component_34,0.7617636992219681,0.608932660488431,0.327963120090256
test,component_35,0.6404604438231905,0.5125406572216448,0.41382209000381115
test,component_36,0.7045609278886193,0.5541968503383956,0.42881011853849643
test,component_37,0.7873645330883459,0.6308739562454244,0.33490802312813495
test,component_38,0.7202783282469988,0.5766110317873439,0.5418587060610424
test,component_39,0.7509346213446747,0.6088941811035965,0.32622390632739223
test,component_40,0.683347476084082,0.5467811617414282,0.37117093239079973
test,component_41,0.7466617124653134,0.6011811645594421,0.4247694114049776
test,component_42,0.7192548400835426,0.5806920819326034,0.3701367423085936
test,component_43,0.7843464816560577,0.6319490503609289,0.2784826837909964
test,component_44,0.7677987855013721,0.6258014015415991,0.35012414875442494
test,component_45,0.7604672656895345,0.6028836977458659,0.3516404148396906
test,component_46,0.7726671127943812,0.6255366822324285,0.34563968187833016
test,component_47,0.7042254366081049,0.5786595918968352,0.3135283073418555
test,component_48,0.7497323359852744,0.5886629982645624,0.3054769858775532
test,component_49,0.6753637021287201,0.5456573706259464,0.3821228009232103
test,component_50,0.7051941839676135,0.571662522023436,0.3077292669842489
test,component_51,0.7066064959966502,0.5590882795625096,0.23333942259213558
test,component_52,0.732085908320598,0.587170189524692,0.26899407198439634
test,component_53,0.5674438156574492,0.45401651180617353,0.3627379454798185
test,component_54,0.6984821932841704,0.5481291993676609,0.4548503918106346
test,component_55,0.6625994884676701,0.5301618039803575,0.4453444336638565
test,component_56,0.7492577802444598,0.5927990596268665,0.24673217785066406
test,component_57,0.7374588257744377,0.5823538377681495,0.28190299476281666
test,component_58,0.7153488072988607,0.5704876045625737,0.38016517700413754
test,component_59,0.7015091471262047,0.5588684858604208,0.25048568719586217
test,component_60,0.6853694645349679,0.5531050222382644,0.23817208393525757
