source,target,source_index,target_index,total_effect
component_07,component_49,6,48,8.491155955022048e-05
component_07,component_50,6,49,0.0013316555283517117
component_07,component_51,6,50,0.0005556340926019378
component_07,component_52,6,51,5.961105835835158e-06
component_07,component_53,6,52,9.453591238101975e-05
component_07,component_54,6,53,0.0010770661784610923
component_07,component_55,6,54,0.0006189555043995241
component_07,component_56,6,55,0.00022809572730098318
component_07,component_57,6,56,2.4090222484087654e-06
component_07,component_58,6,57,2.616969125654932e-05
component_07,component_59,6,58,0.034503903426548826
component_07,component_60,6,59,0.0030927361736033305
component_08,component_01,7,0,0.02142315783222106
component_08,component_02,7,1,0.0012792819517578559
component_08,component_03,7,2,9.932303646833432e-05
component_08,component_04,7,3,0.0005916574567463104
component_08,component_05,7,4,7.570121783409379e-06
component_08,component_06,7,5,5.779130403067282e-07
component_08,component_07,7,6,0.00036491661039952597
component_08,component_09,7,8,9.454392714450843e-05
component_08,component_10,7,9,0.0004937822467511451
component_08,component_11,7,10,2.7983410781288162e-05
component_08,component_12,7,11,4.225955558355904e-05
component_08,component_13,7,12,2.285136094173135e-07
component_08,component_14,7,13,0.025695439174158674
component_08,component_15,7,14,2.5946668540035242e-06
component_08,component_16,7,15,6.69644613482335e-05
component_08,component_17,7,16,1.248979919946798e-05
component_08,component_18,7,17,0.000899004325799439
component_08,component_19,7,18,0.0002706347712064742
component_08,component_20,7,19,0.00030754586064063384
component_08,component_21,7,20,0.00038800498268374927
component_08,component_22,7,21,0.0012806424182239802
component_08,component_23,7,22,0.0007180132291594299
component_08,component_24,7,23,1.6360291659041496e-06
component_08,component_25,7,24,0.03436007508701867
component_08,component_26,7,25,2.1047155817924027e-05
component_08,component_27,7,26,2.1969664123076166e-05
component_08,component_28,7,27,2.5720288215140265e-05
component_08,component_29,7,28,2.100183536028213e-06
component_08,component_30,7,29,2.7275516151410565e-05
component_08,component_31,7,30,0.0021859830989392247
component_08,component_32,7,31,4.592757219121616e-05
component_08,component_33,7,32,6.412662505814803e-06
component_08,component_34,7,33,0.021693045590514347
component_08,component_35,7,34,1.269756315632717e-05
component_08,component_36,7,35,2.6293414661127175e-05
component_08,component_37,7,36,2.858512897696728e-05
component_08,component_38,7,37,0.0004998940571777424
component_08,component_39,7,38,0.0012084514996389428
component_08,component_40,7,39,0.0003292644099552242
component_08,component_41,7,40,5.974980332846662e-06
component_08,component_42,7,41,8.776693143301418e-06
component_08,component_43,7,42,1.7238589772621348e-05
component_08,component_44,7,43,3.2158624309161726e-05
component_08,component_45,7,44,1.2803531696691889e-05
component_08,component_46,7,45,0.00046354364989833184
component_08,component_47,7,46,6.768063129839496e-05
component_08,component_48,7,47,9.741818551725488e-06
component_08,component_49,7,48,2.5227123073878553e-05
component_08,component_50,7,49,0.027062123095768126
component_08,component_51,7,50,0.00043256124531621806
component_08,component_52,7,51,7.394093306127635e-05
component_08,component_53,7,52,0.0009092063265983222
component_08,component_54,7,53,9.461339964052588e-05
component_08,component_55,7,54,0.0004764522294026644
component_08,component_56,7,55,0.0004714223330417885
component_08,component_57,7,56,9.898036368771724e-06
component_08,component_58,7,57,3.747721581575107e-06
component_08,component_59,7,58,0.0006247342470623287
component_08,component_60,7,59,2.7648555926904422e-05
component_09,component_01,8,0,0.0007250369513983847
component_09,component_02,8,1,3.245128529087956e-05
component_09,component_03,8,2,3.7238799237088714e-05
component_09,component_04,8,3,5.408884222831947e-06
component_09,component_05,8,4,4.136041031508017e-06
component_09,component_06,8,5,8.767758812012644e-07
component_09,component_07,8,6,4.454194218485986e-05
component_09,component_08,8,7,0.0005377131431689174
component_09,component_10,8,9,6.888112878787778e-05
component_09,component_11,8,10,1.321506361760142e-05
component_09,component_12,8,11,1.0811638016800816e-05
component_09,component_13,8,12,1.0323576799140696e-07
component_09,component_14,8,13,0.00018269737792032554
component_09,component_15,8,14,5.92520710539908e-07
component_09,component_16,8,15,1.6986738823099781e-06
component_09,component_17,8,16,1.1720790163153422e-05
component_09,component_18,8,17,3.2332383840963525e-05
component_09,component_19,8,18,0.0281681670559847
component_09,component_20,8,19,0.00028146963553731566
component_09,component_21,8,20,9.986690563725808e-06
component_09,component_22,8,21,0.0011658676729296236
component_09,component_23,8,22,0.0008161758669667019
component_09,component_24,8,23,9.087971050333683e-06
component_09,component_25,8,24,0.001014482567226333
component_09,component_26,8,25,1.20963112841328e-05
component_09,component_27,8,26,2.0763642267292255e-05
component_09,component_28,8,27,2.9236618045604786e-05
component_09,component_29,8,28,9.510872720256501e-07
component_09,component_30,8,29,1.1085225152648483e-05
component_09,component_31,8,30,0.015546825163115527
component_09,component_32,8,31,0.0001478619552854232
component_09,component_33,8,32,8.104187793476737e-06
component_09,component_34,8,33,9.143257968268562e-05
component_09,component_35,8,34,8.526169990841679e-07
component_09,component_36,8,35,0.0005818282849338855
component_09,component_37,8,36,2.4433201131312297e-05
component_09,component_38,8,37,2.3223198444814127e-05
component_09,component_39,8,38,4.139373880565473e-05
component_09,component_40,8,39,0.00017730813093771533
component_09,component_41,8,40,1.312346415689168e-05
component_09,component_42,8,41,2.177756965504191e-05
component_09,component_43,8,42,1.1297004627361877e-05
component_09,component_44,8,43,0.0009779952348108398
component_09,component_45,8,44,0.029996311820961862
component_09,component_46,8,45,0.00043848116930760256
component_09,component_47,8,46,2.3667727773562503e-05
component_09,component_48,8,47,4.396128860986908e-06
component_09,component_49,8,48,2.3481357444400265e-06
component_09,component_50,8,49,0.01812801652280762
component_09,component_51,8,50,0.00028047815844014747
component_09,component_52,8,51,2.3321898957064604e-06
component_09,component_53,8,52,0.000260481933011092
component_09,component_54,8,53,0.001133533550888417
component_09,component_55,8,54,0.000303609370362237
component_09,component_56,8,55,0.0011076944507703219
component_09,component_57,8,56,8.417448359100792e-06
component_09,component_58,8,57,0.0240881959991743
component_09,component_59,8,58,0.0007368553994407731
component_09,component_60,8,59,1.7505568409003333e-05
component_10,component_01,9,0,1.7639574457622615e-06
component_10,component_02,9,1,5.628679662032026e-05
component_10,component_03,9,2,0.0008985212602512176
component_10,component_04,9,3,0.00039812223428084163
component_10,component_05,9,4,4.835846797786697e-06
component_10,component_06,9,5,3.676464695148514e-05
component_10,component_07,9,6,0.00033122391977277255
component_10,component_08,9,7,2.9211445657035823e-05
component_10,component_09,9,8,1.6742762612026747e-05
component_10,component_11,9,10,2.8200528599878486e-05
component_10,component_12,9,11,2.798973741472136e-05
component_10,component_13,9,12,7.39953652880919e-05
component_10,component_14,9,13,6.409052378040523e-05
component_10,component_15,9,14,1.823178626708977e-06
component_10,component_16,9,15,2.946352062200247e-06
component_10,component_17,9,16,0.0002861047098637904
component_10,component_18,9,17,0.000628448196509514
component_10,component_19,9,18,3.3014948678528527e-06
component_10,component_20,9,19,0.00010180666229858892
component_10,component_21,9,20,1.4731098482306879e-05
component_10,component_22,9,21,1.4652717313366564e-05
component_10,component_23,9,22,1.9145220089016477e-05
component_10,component_24,9,23,2.5944652855976813e-06
component_10,component_25,9,24,0.03552576413048285
component_10,component_26,9,25,0.033432338362145875
component_10,component_27,9,26,2.160669963116787e-06
component_10,component_28,9,27,6.858098968570096e-07
component_10,component_29,9,28,0.002101020840870934
component_10,component_30,9,29,0.002081659789054681
component_10,component_31,9,30,8.290848441857324e-06
component_10,component_32,9,31,2.4876989886245564e-05
component_10,component_33,9,32,4.713874389177714e-05
component_10,component_34,9,33,0.00043248409327909025
component_10,component_35,9,34,0.0004208304839868596
component_10,component_36,9,35,0.0005982966702229452
component_10,component_37,9,36,1.894674050351877e-05
component_10,component_38,9,37,0.01990501213864387
component_10,component_39,9,38,0.0012512605651382425
component_10,component_40,9,39,0.0003165386589819382
