source,mediator,target,source_index,mediator_index,target_index,amce
component_01,component_02,component_54,0,1,53,2.693587498554085e-05
component_01,component_14,component_54,0,13,53,2.1442752799448002e-07
component_01,component_27,component_54,0,26,53,1.3596214138710448e-07
component_01,component_41,component_54,0,40,53,2.2210412685125998e-07
component_01,component_58,component_54,0,57,53,1.4362734058073102e-08
component_01,component_02,component_55,0,1,54,5.579551814319279e-07
component_01,component_14,component_55,0,13,54,7.015496085868855e-05
component_01,component_27,component_55,0,26,54,5.069815066364526e-07
component_01,component_41,component_55,0,40,54,0.00027846308786917505
component_01,component_58,component_55,0,57,54,3.0613820209877637e-06
component_01,component_02,component_56,0,1,55,1.5177767627772727e-07
component_01,component_14,component_56,0,13,55,4.260703487680469e-08
component_01,component_27,component_56,0,26,55,1.9432643356700475e-07
component_01,component_41,component_56,0,40,55,6.025516560330502e-06
component_01,component_58,component_56,0,57,55,2.606356083080838e-08
component_01,component_02,component_57,0,1,56,7.292850221161887e-06
component_01,component_14,component_57,0,13,56,0.00030153447261906
component_01,component_27,component_57,0,26,56,0.0021435590349700643
component_01,component_41,component_57,0,40,56,6.661362178298536e-06
component_01,component_58,component_57,0,57,56,8.183704784722785e-07
component_01,component_02,component_58,0,1,57,3.75359160247485e-07
component_01,component_14,component_58,0,13,57,5.805079220436787e-05
component_01,component_27,component_58,0,26,57,5.2449398952648355e-05
component_01,component_41,component_58,0,40,57,1.4027059026461815e-05
component_01,component_02,component_59,0,1,58,0.0004628487914912808
component_01,component_14,component_59,0,13,58,4.351086601901274e-07
component_01,component_27,component_59,0,26,58,1.2964830410055963e-05
component_01,component_41,component_59,0,40,58,5.0525058486289765e-06
component_01,component_58,component_59,0,57,58,4.0208091251513514e-07
component_01,component_02,component_60,0,1,59,1.0533728441145262e-07
component_01,component_14,component_60,0,13,59,6.234140267835155e-05
component_01,component_27,component_60,0,26,59,1.3224903634456318e-06
component_01,component_41,component_60,0,40,59,1.5727177132455086e-07
component_01,component_58,component_60,0,57,59,2.4295131558596094e-06
component_02,component_08,component_01,1,7,0,2.0378266438048625e-08
component_02,component_12,component_01,1,11,0,1.4440314106867622e-07
component_02,component_29,component_01,1,28,0,3.203040165053289e-06
component_02,component_38,component_01,1,37,0,4.201314441194795e-09
component_02,component_59,component_01,1,58,0,2.8153735840059772e-08
component_02,component_08,component_03,1,7,2,4.932038262848298e-07
component_02,component_12,component_03,1,11,2,2.873574940491544e-05
component_02,component_29,component_03,1,28,2,0.000420543766769262
component_02,component_38,component_03,1,37,2,1.314694641447024e-07
component_02,component_59,component_03,1,58,2,7.835730560094387e-08
component_02,component_08,component_05,1,7,4,2.6066735897188042e-09
component_02,component_12,component_05,1,11,4,1.1991016201965541e-08
component_02,component_29,component_05,1,28,4,1.360402687678618e-07
component_02,component_38,component_05,1,37,4,3.0211637679456657e-08
component_02,component_59,component_05,1,58,4,1.5123233672689568e-09
component_02,component_08,component_06,1,7,5,0.0007444079653513774
component_02,component_12,component_06,1,11,5,1.2978200881170304e-06
component_02,component_29,component_06,1,28,5,2.0649250452126166e-05
component_02,component_38,component_06,1,37,5,1.0765023411644813e-05
component_02,component_59,component_06,1,58,5,4.283434659894615e-06
component_02,component_08,component_07,1,7,6,2.823211213314876e-07
component_02,component_12,component_07,1,11,6,5.433468947933252e-05
component_02,component_29,component_07,1,28,6,0.000653684745827436
component_02,component_38,component_07,1,37,6,9.081696660025189e-08
component_02,component_59,component_07,1,58,6,4.877158464192761e-07
component_02,component_12,component_08,1,11,7,2.507006303942688e-05
component_02,component_29,component_08,1,28,7,0.0004871164996386131
component_02,component_38,component_08,1,37,7,0.0002530296020969658
component_02,component_59,component_08,1,58,7,1.079194270334827e-06
component_02,component_08,component_09,1,7,8,5.049548965206811e-07
component_02,component_12,component_09,1,11,8,0.0003758088413427836
component_02,component_29,component_09,1,28,8,3.79785309997069e-07
component_02,component_38,component_09,1,37,8,0.00030618796957108024
component_02,component_59,component_09,1,58,8,1.61998730429166e-07
component_02,component_08,component_10,1,7,9,1.7279629031211168e-07
component_02,component_12,component_10,1,11,9,3.6920918230412012e-06
component_02,component_29,component_10,1,28,9,7.892062030295423e-08
component_02,component_38,component_10,1,37,9,3.033322697961475e-06
component_02,component_59,component_10,1,58,9,1.053841448207213e-07
component_02,component_08,component_11,1,7,10,4.803432800997377e-07
component_02,component_12,component_11,1,11,10,4.550812046657971e-07
component_02,component_29,component_11,1,28,10,5.2252880309637e-06
component_02,component_38,component_11,1,37,10,7.90140938081216e-06
component_02,component_59,component_11,1,58,10,4.240989395379198e-09
component_02,component_08,component_12,1,7,11,9.343065147120907e-07
component_02,component_29,component_12,1,28,11,4.2793044467032817e-08
component_02,component_38,component_12,1,37,11,1.80538778406147e-08
component_02,component_59,component_12,1,58,11,5.18983838954845e-06
component_02,component_08,component_13,1,7,12,2.723801812975495e-07
component_02,component_12,component_13,1,11,12,9.085367806094268e-08
component_02,component_29,component_13,1,28,12,5.5311589257583544e-08
component_02,component_38,component_13,1,37,12,1.3798383328992458e-07
component_02,component_59,component_13,1,58,12,9.610227308176403e-10
