source,target,source_index,target_index,ei,bias_correction
component_05,component_55,4,54,0.01074679354286295,0.00012214486198658392
component_12,component_14,11,13,0.010654830079552959,0.00012214486198658392
component_59,component_57,58,56,0.010600783735494664,0.00012214486198658392
component_02,component_54,1,53,0.010590077766358931,0.00012214486198658392
component_18,component_25,17,24,0.010516487456413925,0.00012214486198658392
component_06,component_56,5,55,0.010512305575063958,0.00012214486198658392
component_12,component_37,11,36,0.010438280090500657,0.00012214486198658392
component_01,component_54,0,53,0.010398039223432954,0.00012214486198658392
component_09,component_08,8,7,0.010381457393659154,0.00012214486198658392
component_55,component_09,54,8,0.01037491707427801,0.00012214486198658392
component_36,component_06,35,5,0.010369797963177668,0.00012214486198658392
component_09,component_43,8,42,0.010348718807361958,0.00012214486198658392
component_57,component_14,56,13,0.010299248776351739,0.00012214486198658392
component_06,component_39,5,38,0.010249370876054861,0.00012214486198658392
component_54,component_29,53,28,0.010194794764020632,0.00012214486198658392
component_10,component_03,9,2,0.01017781781976497,0.00012214486198658392
component_22,component_30,21,29,0.010144855906872686,0.00012214486198658392
component_59,component_30,58,29,0.010138651195610488,0.00012214486198658392
component_15,component_53,14,52,0.010110257517242632,0.00012214486198658392
component_32,component_33,31,32,0.010094105662019216,0.00012214486198658392
component_19,component_14,18,13,0.010079553928291482,0.00012214486198658392
component_36,component_24,35,23,0.010075191263149997,0.00012214486198658392
component_56,component_10,55,9,0.010050529594424866,0.00012214486198658392
component_54,component_12,53,11,0.009976006389498181,0.00012214486198658392
component_11,component_25,10,24,0.009966823864247163,0.00012214486198658392
component_30,component_58,29,57,0.009879847569350847,0.00012214486198658392
component_07,component_21,6,20,0.00983495449271517,0.00012214486198658392
component_33,component_27,32,26,0.009809429257948563,0.00012214486198658392
component_08,component_10,7,9,0.009807776795373023,0.00012214486198658392
component_09,component_10,8,9,0.009796847021690232,0.00012214486198658392
component_08,component_42,7,41,0.009794636984496657,0.00012214486198658392
component_42,component_18,41,17,0.009772333631725898,0.00012214486198658392
component_07,component_11,6,10,0.009738097873859822,0.00012214486198658392
component_43,component_32,42,31,0.0097355999260072,0.00012214486198658392
component_07,component_54,6,53,0.00973263570858404,0.00012214486198658392
component_53,component_18,52,17,0.009681285894578368,0.00012214486198658392
component_02,component_58,1,57,0.009666197237418697,0.00012214486198658392
component_12,component_45,11,44,0.009653745015196643,0.00012214486198658392
component_44,component_20,43,19,0.009626327825576729,0.00012214486198658392
component_17,component_12,16,11,0.009587895145364247,0.00012214486198658392
component_11,component_18,10,17,0.009550845455787778,0.00012214486198658392
component_01,component_17,0,16,0.009527556746415195,0.00012214486198658392
component_15,component_47,14,46,0.009523994665947492,0.00012214486198658392
component_42,component_33,41,32,0.009480272542063232,0.00012214486198658392
component_25,component_23,24,22,0.009478081271738069,0.00012214486198658392
component_51,component_39,50,38,0.00947374788772352,0.00012214486198658392
component_27,component_22,26,21,0.009459490850565397,0.00012214486198658392
