source,target,source_index,target_index,direct_effect,raw_ei
component_40,component_36,39,35,0.037602259479510194,0.037602259479510194
component_40,component_37,39,36,0.029297931500174373,0.029297931500174373
component_41,component_12,40,11,0.014834330514366228,0.014834330514366228
component_41,component_18,40,17,0.009479397116506473,0.009479397116506473
component_41,component_30,40,29,0.012213970752557902,0.012213970752557902
component_41,component_40,40,39,0.017006000115276136,0.017006000115276136
component_41,component_45,40,44,0.00950440508698149,0.00950440508698149
component_42,component_02,41,1,0.022710656915097,0.022710656915097
component_42,component_04,41,3,0.017031704644889584,0.017031704644889584
component_42,component_06,41,5,0.018630142674189124,0.018630142674189124
component_42,component_18,41,17,0.058761436421823535,0.058761436421823535
component_42,component_20,41,19,0.029970257446577515,0.029970257446577515
component_43,component_18,42,17,0.03368111415845559,0.03368111415845559
component_43,component_23,42,22,0.025034309138003155,0.025034309138003155
component_43,component_38,42,37,0.033508374334331424,0.033508374334331424
component_43,component_48,42,47,0.02715473936371796,0.02715473936371796
component_43,component_56,42,55,0.017151932859116353,0.017151932859116353
component_44,component_14,43,13,0.010182197053648527,0.010182197053648527
component_44,component_24,43,23,0.008780548522434156,0.008780548522434156
component_44,component_34,43,33,0.014802767186666597,0.014802767186666597
component_44,component_45,43,44,0.008223324878645345,0.008223324878645345
component_44,component_50,43,49,0.008844731240943546,0.008844731240943546
component_45,component_22,44,21,0.010300277165023426,0.010300277165023426
component_45,component_44,44,43,0.03256207675033722,0.03256207675033722
component_45,component_46,44,45,0.01362524419801079,0.01362524419801079
component_45,component_54,44,53,0.01613592331897168,0.01613592331897168
component_45,component_56,44,55,0.016411704559696882,0.016411704559696882
component_46,component_11,45,10,0.010813415439879376,0.010813415439879376
component_46,component_17,45,16,0.025875472347737537,0.025875472347737537
component_46,component_36,45,35,0.014361175566815178,0.014361175566815178
component_46,component_43,45,42,0.018262383294781283,0.018262383294781283
component_46,component_54,45,53,0.014854150458426914,0.014854150458426914
component_47,component_10,46,9,0.02040744977483981,0.02040744977483981
component_47,component_29,46,28,0.02184276265912231,0.02184276265912231
component_47,component_30,46,29,0.018729836009969143,0.018729836009969143
component_47,component_38,46,37,0.014777546617769236,0.014777546617769236
component_47,component_42,46,41,0.02046857270784945,0.02046857270784945
component_48,component_13,47,12,0.016001542159664955,0.016001542159664955
component_48,component_24,47,23,0.011523296437436575,0.011523296437436575
component_48,component_26,47,25,0.00893702425981747,0.00893702425981747
component_48,component_30,47,29,0.008117518024631395,0.008117518024631395
component_48,component_32,47,31,0.015423552632497325,0.015423552632497325
component_49,component_08,48,7,0.014329137493648104,0.014329137493648104
component_49,component_10,48,9,0.016911689060707363,0.016911689060707363
component_49,component_15,48,14,0.017364094303247618,0.017364094303247618
component_49,component_22,48,21,0.025625192693060295,0.025625192693060295
component_49,component_50,48,49,0.023574708946697547,0.023574708946697547
component_50,component_19,49,18,0.009091238365455731,0.009091238365455731
component_50,component_25,49,24,0.010778826106482932,0.010778826106482932
component_50,component_51,49,50,0.014397429111698104,0.014397429111698104
component_50,component_55,49,54,0.015442777189143365,0.015442777189143365
component_50,component_59,49,58,0.009968446955121318,0.009968446955121318
component_51,component_07,50,6,0.013679212363236704,0.013679212363236704
component_51,component_25,50,24,0.024345176167371113,0.024345176167371113
component_51,component_31,50,30,0.042794140735400374,0.042794140735400374
component_51,component_37,50,36,0.016001704542123157,0.016001704542123157
component_51,component_38,50,37,0.01455482651750108,0.01455482651750108
component_52,component_24,51,23,0.007553621937393306,0.007553621937393306
component_52,component_25,51,24,0.008621371608803607,0.008621371608803607
component_52,component_27,51,26,0.028977884048907786,0.028977884048907786
component_52,component_49,51,48,0.028245999204508845,0.028245999204508845
component_52,component_55,51,54,0.011926812998621618,0.011926812998621618
component_53,component_01,52,0,0.012723170503709235,0.012723170503709235
component_53,component_08,52,7,0.024650186000585498,0.024650186000585498
component_53,component_12,52,11,0.01954852213490188,0.01954852213490188
component_53,component_19,52,18,0.024152509174907147,0.024152509174907147
component_53,component_38,52,37,0.01221922851747901,0.01221922851747901
component_54,component_30,53,29,0.00872427933697448,0.00872427933697448
component_54,component_34,53,33,0.013717197813119291,0.013717197813119291
component_54,component_36,53,35,0.019183680767445664,0.019183680767445664
component_54,component_47,53,46,0.014001035045090003,0.014001035045090003
component_54,component_59,53,58,0.009018461847558766,0.009018461847558766
component_55,component_05,54,4,0.011571835761065366,0.011571835761065366
component_55,component_20,54,19,0.013719263674852902,0.013719263674852902
component_55,component_37,54,36,0.024498849066474256,0.024498849066474256
component_55,component_48,54,47,0.013102294477031349,0.013102294477031349
component_55,component_60,54,59,0.036141374023890165,0.036141374023890165
component_56,component_26,55,25,0.008596466800606432,0.008596466800606432
component_56,component_34,55,33,0.009228209324069488,0.009228209324069488
component_56,component_42,55,41,0.014373879150822283,0.014373879150822283
component_56,component_46,55,45,0.015311999388139234,0.015311999388139234
component_56,component_50,55,49,0.012997530287805807,0.012997530287805807
component_57,component_03,56,2,0.014022040145852288,0.014022040145852288
component_57,component_21,56,20,0.025504848543496515,0.025504848543496515
component_57,component_29,56,28,0.0187840386556649,0.0187840386556649
component_57,component_32,56,31,0.012630963635233533,0.012630963635233533
component_57,component_36,56,35,0.018706484274841974,0.018706484274841974
component_58,component_01,57,0,0.027908038709787097,0.027908038709787097
component_58,component_22,57,21,0.033728481238589965,0.033728481238589965
component_58,component_23,57,22,0.03280383612743397,0.03280383612743397
