source,target,total_effect
14,16,0.012665153035500604
14,17,-0.03637012671411927
14,18,-0.008690392636768825
14,19,-0.04853809410721958
14,20,-0.016186475730987564
14,21,0.11636321245196384
14,22,0.03563925739749101
14,23,-0.05328312504091055
14,24,-0.03433120899017197
14,25,-0.0003428859104510062
14,26,0.020389289347908377
14,27,-0.031766480947944375
14,28,0.009283746722879196
14,29,-0.07167995834020299
14,30,0.04092565618818422
14,31,0.03492900428560492
14,32,-0.03890724451824135
14,33,0.10688037693395806
14,34,-0.01722783161094474
14,35,-0.10276580460548428
14,36,0.007307108680005055
14,37,-7.964245374473458e-05
14,38,0.00013234087126267848
14,39,-0.0021430360128146617
14,40,-0.0004153592957042204
14,41,-0.030651819002320654
14,42,0.22154905510375136
14,43,-0.12704613062264156
14,44,0.0325877595558162
14,45,0.08883358834572701
14,46,0.003147517397493725
14,47,-0.0035798550842455375
14,48,0.061206595737120305
14,49,-0.01229091660383457
14,50,0.028141449857562725
14,51,-0.009195574960201739
14,52,0.007567826083648098
14,53,0.01330439909246019
14,54,-0.1943027276388174
14,55,0.0011009916229586544
14,56,-0.008532445434541784
14,57,-0.04008128872026397
14,58,0.4003889977930546
14,59,0.027274291862722993
15,0,0.0359156133075532
15,1,-0.00843254943204368
15,2,-0.014134777958419562
15,3,0.028419864417254543
15,4,0.06531323814420083
15,5,0.02973577721736895
15,6,-0.22143786564739001
15,7,0.0038176979133926563
15,8,-0.0685921931785518
15,9,0.16643881283241918
15,10,0.038223171246550905
15,11,-0.0045995768971727885
15,12,-0.006228616909468374
15,13,-0.005600951660433431
15,14,0.01973307317822191
15,16,-0.013906856786838086
15,17,-0.007958416574939654
15,18,0.009132726052893005
15,19,0.004399047424314737
15,20,0.12817957156218723
15,21,0.008170063029232889
15,22,0.0041163636810337524
15,23,0.013652164782840176
15,24,0.001864606021341343
