source,mediator,target,amce,abs_amce
0,14,29,-0.004369628979580577,0.004369628979580577
0,14,30,0.002494838688932956,0.002494838688932956
0,14,31,0.0021292812229310397,0.0021292812229310397
0,14,32,-0.0023717957864267014,0.0023717957864267014
0,14,33,0.006515455689616072,0.006515455689616072
0,14,34,-0.0010502131140371599,0.0010502131140371599
0,14,35,-0.00626463028595515,0.00626463028595515
0,14,36,0.000445443253378493,0.000445443253378493
0,14,37,-4.855024778839908e-06,4.855024778839908e-06
0,14,38,8.067534072881893e-06,8.067534072881893e-06
0,14,39,-0.00013064003499326307,0.00013064003499326307
0,14,40,-2.532041113686562e-05,2.532041113686562e-05
0,14,41,-0.0018685428910786338,0.0018685428910786338
0,14,42,0.013505688256477081,0.013505688256477081
0,14,43,-0.007744765300748105,0.007744765300748105
0,14,44,0.001986558332788996,0.001986558332788996
0,14,45,0.005415318744373601,0.005415318744373601
0,14,46,0.0001918734825227811,0.0001918734825227811
0,14,47,-0.00021822890081180072,0.00021822890081180072
0,14,48,0.0037311700601866792,0.0037311700601866792
0,14,49,-0.0007492574859324552,0.0007492574859324552
0,14,50,0.0017155101324333657,0.0017155101324333657
0,14,51,-0.0005605646509906891,0.0005605646509906891
0,14,52,0.00046133665439070706,0.00046133665439070706
0,14,53,0.0008110396431091862,0.0008110396431091862
0,14,54,-0.011844745018858837,0.011844745018858837
0,14,55,6.711673685861079e-05,6.711673685861079e-05
0,14,56,-0.0005201401019307314,0.0005201401019307314
0,14,57,-0.002443365827582672,0.002443365827582672
0,14,58,0.02440781786672004,0.02440781786672004
0,14,59,0.0016626479546103428,0.0016626479546103428
0,18,1,-0.0031804466252064703,0.0031804466252064703
0,18,2,0.008081016700823607,0.008081016700823607
0,18,3,0.0031099324958109354,0.0031099324958109354
0,18,4,0.00279873478458522,0.00279873478458522
0,18,5,-0.0022472765939763224,0.0022472765939763224
0,18,6,-0.002097726851554953,0.002097726851554953
0,18,7,-0.001722983665415781,0.001722983665415781
0,18,8,-0.0007458762290346081,0.0007458762290346081
0,18,9,-0.0024762405252407578,0.0024762405252407578
0,18,10,-0.004088678556929518,0.004088678556929518
0,18,11,0.011440411953651076,0.011440411953651076
0,18,12,0.0006870931072832013,0.0006870931072832013
0,18,13,-0.007440042122688951,0.007440042122688951
0,18,14,0.006785803946095865,0.006785803946095865
0,18,15,-0.0007737443823530495,0.0007737443823530495
0,18,16,-0.0002281903985707701,0.0002281903985707701
0,18,17,0.013853927812316286,0.013853927812316286
0,18,19,-0.005505819040736186,0.005505819040736186
0,18,20,7.956401647570189e-05,7.956401647570189e-05
0,18,21,0.015069109605821154,0.015069109605821154
0,18,22,-0.001365350105320886,0.001365350105320886
0,18,23,0.0007995611533958845,0.0007995611533958845
0,18,24,-0.013969866517603687,0.013969866517603687
0,18,25,-0.000319818292937507,0.000319818292937507
0,18,26,0.0015626042103012317,0.0015626042103012317
0,18,27,-0.03709289989047198,0.03709289989047198
0,18,28,-0.0008968919078867885,0.0008968919078867885
0,18,29,-0.023706380558972267,0.023706380558972267
0,18,30,-0.00043963718201127253,0.00043963718201127253
0,18,31,0.002721821152484434,0.002721821152484434
0,18,32,-0.02282315521631619,0.02282315521631619
0,18,33,0.0010141272506077078,0.0010141272506077078
0,18,34,-0.00024643076446270257,0.00024643076446270257
0,18,35,-0.010624707529081212,0.010624707529081212
0,18,36,-0.011658794228886273,0.011658794228886273
0,18,37,-0.00033355439761344945,0.00033355439761344945
0,18,38,0.0011062819568760612,0.0011062819568760612
0,18,39,-0.0016976060491078226,0.0016976060491078226
0,18,40,0.00239288121442242,0.00239288121442242
0,18,41,0.00017987434852245407,0.00017987434852245407
0,18,42,-0.0010118357563761939,0.0010118357563761939
0,18,43,-0.014757885172531716,0.014757885172531716
0,18,44,0.010622372452679317,0.010622372452679317
0,18,45,-0.0034449837748251637,0.0034449837748251637
0,18,46,-0.0008129030812786827,0.0008129030812786827
0,18,47,0.00029874129761996263,0.00029874129761996263
0,18,48,0.0011754033881797312,0.0011754033881797312
0,18,49,0.00391511965790142,0.00391511965790142
0,18,50,0.0031929658185239893,0.0031929658185239893
0,18,51,-0.002258437328108447,0.002258437328108447
0,18,52,-0.0008645422715399107,0.0008645422715399107
0,18,53,0.003118525650659296,0.003118525650659296
0,18,54,0.012139361569232907,0.012139361569232907
0,18,55,-0.011701141705655898,0.011701141705655898
0,18,56,-0.00011686878433890928,0.00011686878433890928
0,18,57,-0.007598724640582521,0.007598724640582521
0,18,58,-0.00222727436085254,0.00222727436085254
0,18,59,-0.0015627081338469196,0.0015627081338469196
0,19,1,-0.014669665109599111,0.014669665109599111
0,19,2,0.022607387341055326,0.022607387341055326
0,19,3,-0.006852791600162327,0.006852791600162327
0,19,4,-0.0013570770040999343,0.0013570770040999343
0,19,5,-0.00928989579890267,0.00928989579890267
0,19,6,-0.004853356020934981,0.004853356020934981
0,19,7,-0.0023234025661813883,0.0023234025661813883
0,19,8,0.00033075925796971554,0.00033075925796971554
0,19,9,-0.0008019288410557268,0.0008019288410557268
0,19,10,-0.007894356942012772,0.007894356942012772
0,19,11,0.037285625951159196,0.037285625951159196
0,19,12,0.0020118688434403115,0.0020118688434403115
0,19,13,-0.014525470006630578,0.014525470006630578
0,19,14,0.009245577689549811,0.009245577689549811
0,19,15,-0.0029875952996051567,0.0029875952996051567
0,19,16,0.0007504481304309199,0.0007504481304309199
0,19,17,-0.0001067621284437944,0.0001067621284437944
0,19,18,-0.03156855759778581,0.03156855759778581
0,19,20,-0.001748173613291852,0.001748173613291852
0,19,21,0.050048219753510946,0.050048219753510946
0,19,22,-0.002037048314235847,0.002037048314235847
0,19,23,0.00345386378715868,0.00345386378715868
0,19,24,-0.03934518582350896,0.03934518582350896
0,19,25,-0.001156724493010486,0.001156724493010486
0,19,26,0.0011162732990689995,0.0011162732990689995
0,19,27,0.01060558338263618,0.01060558338263618
0,19,28,-0.00044263832243041096,0.00044263832243041096
0,19,29,0.0023970339016095455,0.0023970339016095455
0,19,30,0.001120227425623834,0.001120227425623834
0,19,31,0.0010376068557595669,0.0010376068557595669
0,19,32,0.008946200077902623,0.008946200077902623
0,19,33,-0.0006818381111031589,0.0006818381111031589
0,19,34,-0.00018206403553132654,0.00018206403553132654
0,19,35,-0.029471899408364973,0.029471899408364973
0,19,36,-0.04098180831369748,0.04098180831369748
0,19,37,-0.0005204438838595,0.0005204438838595
0,19,38,0.011625511933008531,0.011625511933008531
0,19,39,-0.0039068693357982255,0.0039068693357982255
0,19,40,0.0032237945378301236,0.0032237945378301236
0,19,41,-0.0002931972122341438,0.0002931972122341438
0,19,42,0.003656135734712228,0.003656135734712228
0,19,43,-0.04357753571943791,0.04357753571943791
0,19,44,0.0035496675311067045,0.0035496675311067045
0,19,45,-0.004143929080345532,0.004143929080345532
0,19,46,-0.003260475018402254,0.003260475018402254
0,19,47,-0.0012074669081365596,0.0012074669081365596
0,19,48,0.004350661977840301,0.004350661977840301
0,19,49,0.010484726867412142,0.010484726867412142
0,19,50,0.009248463632229751,0.009248463632229751
0,19,51,-0.004724793901714099,0.004724793901714099
0,19,52,3.7873875516939513e-05,3.7873875516939513e-05
0,19,53,0.0005282736729199401,0.0005282736729199401
0,19,54,0.009037445024011348,0.009037445024011348
0,19,55,-0.00562291721197634,0.00562291721197634
0,19,56,0.019129165779634253,0.019129165779634253
0,19,57,0.0005734092041930882,0.0005734092041930882
