model,horizon,component,rmse,mae,corr
RNN,8,component_39,0.7615299678734923,0.6104565143978301,-0.030741200540177975
RNN,8,component_40,0.7376091556684342,0.5940435992319371,0.04325819551521103
RNN,8,component_41,0.7765308340801091,0.6225769872545065,-0.051394198138407905
RNN,8,component_42,0.8322862235765547,0.6624613532302422,0.03199143914080623
RNN,8,component_43,0.7100202315008525,0.5724593039614687,0.1977110077445066
RNN,8,component_44,0.7428700596577188,0.58828603408959,0.007478178514490214
RNN,8,component_45,0.7604533428191423,0.6057370010673316,0.25628900230021034
RNN,8,component_46,0.7787339839855333,0.6368450035900963,0.062036111679468126
RNN,8,component_47,0.7506527701247498,0.5819826832084309,0.02544578046754103
RNN,8,component_48,0.7611770670890917,0.6168414199087993,0.06688698943970131
RNN,8,component_49,0.7135069075260044,0.5674173723148744,0.08164482593089648
RNN,8,component_50,0.7815944051920721,0.6181395059012305,0.2696384013996894
RNN,8,component_51,0.7362357080887122,0.5865681875407938,0.08393618185753607
RNN,8,component_52,0.7962641197194463,0.6368006434489396,0.019468991067418763
RNN,8,component_53,0.7252895394817659,0.5682152279428995,0.1425662936855598
RNN,8,component_54,0.7479289035055634,0.6060309687261167,0.12636176767383028
RNN,8,component_55,0.7822116822756837,0.6256565900814453,-0.005076216232163941
RNN,8,component_56,0.7619367793994852,0.6102516470931915,0.07697672986293505
RNN,8,component_57,0.759911735713208,0.6059871811799032,0.16361325211466865
RNN,8,component_58,0.7603713796313192,0.6044558652000914,0.17209468971535605
RNN,8,component_59,0.7691925223673244,0.6166531532433671,0.0019641267841210737
RNN,8,component_60,0.7723051646550533,0.617909957893428,0.17314528369416526
MLP,1,overall,0.7094447366447386,0.5655043676432666,0.47194314307406793
MLP,1,component_01,0.5616072659283163,0.44698581977365215,0.7588555077908722
MLP,1,component_02,0.692051409646765,0.5410811301941428,0.6352775777785802
MLP,1,component_03,0.6567574036990961,0.520801434008524,0.6099470582151141
MLP,1,component_04,0.6485030667515763,0.5240304976738723,0.5647627485023675
MLP,1,component_05,0.6715506499013433,0.5349971757743799,0.49852343850673825
MLP,1,component_06,0.620184703945788,0.49722883137662527,0.7029843571286142
MLP,1,component_07,0.7125240198786176,0.5741845360706084,0.515167829419592
MLP,1,component_08,0.7099980393079057,0.5665486037551786,0.5679570154242563
MLP,1,component_09,0.6509988681704252,0.5096920826938751,0.629205313503254
MLP,1,component_10,0.7331494166949875,0.5850491370831403,0.4799481010876309
MLP,1,component_11,0.766191623876827,0.61589088570327,0.5604293486862901
MLP,1,component_12,0.6831565541481079,0.5477390861186913,0.521260376916849
MLP,1,component_13,0.7365196111634186,0.5837891711193957,0.45067830598471337
MLP,1,component_14,0.7015799851837222,0.5550461593065747,0.5248899187822185
