model,horizon,component,rmse,mae,corr
RNN,8,component_32,0.807587048265064,0.6499990857594116,0.11271451770933366
RNN,8,component_33,0.7965088095693338,0.6347275371469845,0.11719902793712994
RNN,8,component_34,0.7890455052205331,0.6289113525471383,0.2631666659314958
RNN,8,component_35,0.8425633968659109,0.6740797502480481,0.08184108587283007
RNN,8,component_36,0.6757653818703219,0.5412968381086761,0.28717260617970614
RNN,8,component_37,0.7804028391955886,0.619498755449055,0.16511822248316577
RNN,8,component_38,0.7691197752040968,0.6069088351441807,0.025375541745649932
RNN,8,component_39,0.7606029590733205,0.6102289540997707,0.009406291790842479
RNN,8,component_40,0.736163918036251,0.5930129151693797,0.05547795142957812
RNN,8,component_41,0.7745761919539299,0.6204907888821128,-0.022254175333589907
RNN,8,component_42,0.8303755840637475,0.6604614387370533,0.019963885462481835
RNN,8,component_43,0.7056958129342897,0.5665408796223854,0.21893406791872372
RNN,8,component_44,0.7393983005674523,0.5853986101270009,0.05917060340266985
RNN,8,component_45,0.7543444844180172,0.6013340536626796,0.3067940275138665
RNN,8,component_46,0.7804352873187617,0.6386843530076545,0.07386458682025639
RNN,8,component_47,0.7483139982576146,0.5798850701471351,0.026534465197482923
RNN,8,component_48,0.7612495629621279,0.6166786865966843,0.07248228872849391
RNN,8,component_49,0.7177929718485289,0.5707325580400903,0.027837772030709848
RNN,8,component_50,0.7825861929482228,0.6181264993356095,0.2731128285281811
RNN,8,component_51,0.7355363516051014,0.5841604317666499,0.06739203954047245
RNN,8,component_52,0.7870028226908263,0.6293258318127342,0.06376720712905119
RNN,8,component_53,0.725690322077162,0.5665141830213518,0.15627675134462396
RNN,8,component_54,0.7500610846951916,0.6070529302269025,0.10412324366085696
RNN,8,component_55,0.7820776064279602,0.6253038296366523,0.014303645523901226
RNN,8,component_56,0.7589863206060771,0.6084370525192803,0.12042892597545828
RNN,8,component_57,0.7577673984957135,0.6028341093476465,0.17385387973174604
RNN,8,component_58,0.7614899056730136,0.6055473501754436,0.15273605483965988
RNN,8,component_59,0.769491435790945,0.6169634373732119,0.0050724323891628426
RNN,8,component_60,0.7669855329197227,0.6129723281291978,0.24802383672142833
MLP,1,overall,0.715249621510974,0.5708379504719785,0.45608244105656415
MLP,1,component_01,0.5731857507592028,0.4576652128037193,0.7473313353109499
MLP,1,component_02,0.7003449909164181,0.5480743607649579,0.6305930948955066
MLP,1,component_03,0.6754594565091865,0.5378697192867055,0.5852139662554974
MLP,1,component_04,0.6509762871140834,0.5256251882938435,0.5513990081065359
MLP,1,component_05,0.6764953888336196,0.5343300455997791,0.483799610183105
MLP,1,component_06,0.6391003872944441,0.5167195888335145,0.6939156013275918
MLP,1,component_07,0.728944090711828,0.5855499903817137,0.4848123406259637
MLP,1,component_08,0.7189680667360707,0.5732149355524796,0.5535824139083229
MLP,1,component_09,0.6672215675682295,0.5305686703812059,0.6007824358096634
MLP,1,component_10,0.7417423238755306,0.5974995388062877,0.440657325852151
MLP,1,component_11,0.7776950683219794,0.6288808315064854,0.5443466121396402
MLP,1,component_12,0.688533821713551,0.5496653125230953,0.5109062438829435
MLP,1,component_13,0.7288552678154788,0.5780195712353128,0.45940691116338545
MLP,1,component_14,0.7097507566527829,0.5568917666245197,0.506707492287216
MLP,1,component_15,0.7321539443655447,0.5837396629587803,0.48317600564132035
MLP,1,component_16,0.7029906238184311,0.5621857649201814,0.5513956700931476
MLP,1,component_17,0.735777509460975,0.5826377240585752,0.40046343308715415
MLP,1,component_18,0.7297790840948933,0.5793928227498177,0.4222881478074981
MLP,1,component_19,0.7320429800477093,0.5862797056539382,0.40223586095931185
MLP,1,component_20,0.6863396232945028,0.5386115117111846,0.46203081235382404
MLP,1,component_21,0.7288545785999835,0.5871179775948243,0.4115955155655615
MLP,1,component_22,0.7281933681130074,0.5890315479278808,0.5217629894515722
MLP,1,component_23,0.7319994945439829,0.5968496647480614,0.46524373449028467
MLP,1,component_24,0.7589872557159697,0.6115270770088974,0.30633081017569924
MLP,1,component_25,0.6681495669072474,0.5384976894623863,0.4659057222324859
MLP,1,component_26,0.7397911243711517,0.5880097821934737,0.4056512972659943
MLP,1,component_27,0.7309464461635825,0.5787623755222909,0.4049641904886072
MLP,1,component_28,0.6956173955229239,0.5576989849232196,0.34250489046965915
MLP,1,component_29,0.6453754239438506,0.5193428657831276,0.5193914701130382
MLP,1,component_30,0.7991071226050342,0.6317922749364758,0.46399551557313573
MLP,1,component_31,0.7422542541664164,0.593725262058154,0.3611110356419587
MLP,1,component_32,0.7758044081692517,0.6158148706878271,0.32484706582732487
MLP,1,component_33,0.7415784474928703,0.5959260279737985,0.3861980860821683
MLP,1,component_34,0.7285135160706133,0.5920002335491351,0.4599059527704666
