model,horizon,component,rmse,mae,corr
MLP,1,component_07,0.770504210600536,0.6196379660460042,0.37819160344163283
MLP,1,component_08,0.7718134415324841,0.6159626287783032,0.4425237175218593
MLP,1,component_09,0.7039776048128914,0.5624522390586235,0.5425619817779868
MLP,1,component_10,0.767324971988146,0.6182165216256147,0.3653370158124264
MLP,1,component_11,0.8152533817085483,0.6594264503293324,0.4577949142181621
MLP,1,component_12,0.7242336210803664,0.5737441983037562,0.42938925855796983
MLP,1,component_13,0.7761632806372954,0.6093702806517596,0.3199182090922228
MLP,1,component_14,0.7649748807570582,0.5973568358241166,0.3701496637107704
MLP,1,component_15,0.7667513528543951,0.6158802059085671,0.4029045032356383
MLP,1,component_16,0.7801112847531795,0.6314709993147886,0.35199212850655415
MLP,1,component_17,0.7876297313297609,0.6290402969506047,0.23354613522870513
MLP,1,component_18,0.7824116379316102,0.6265975678559846,0.2462747848029619
MLP,1,component_19,0.7457348334275717,0.5981241394227751,0.36610349686290405
MLP,1,component_20,0.7256357633578379,0.5715360260928146,0.3549449001150029
MLP,1,component_21,0.7516857402272659,0.5986392076447075,0.34266082127375286
MLP,1,component_22,0.7605815548392919,0.6167462444176831,0.4371015889249562
MLP,1,component_23,0.7448545059988048,0.6034717806171614,0.43966454706527863
MLP,1,component_24,0.7915041245016663,0.6452331723146152,0.18335230191240176
MLP,1,component_25,0.6863286321497002,0.5598057279697274,0.3910359610890022
MLP,1,component_26,0.7844840177427589,0.6290191635704039,0.2530345772073321
MLP,1,component_27,0.7750316327104073,0.6173929256288309,0.2534521385407142
MLP,1,component_28,0.6925191258934826,0.5557052315612852,0.3572460485433026
MLP,1,component_29,0.6835169325681836,0.5590896887579612,0.418923325069804
MLP,1,component_30,0.8385240231631585,0.6611708187390173,0.35872473267442545
MLP,1,component_31,0.7687235595798163,0.6194345897394187,0.25475605766683784
MLP,1,component_32,0.7934953661509824,0.6444313116853638,0.24765584614079705
MLP,1,component_33,0.775946842302444,0.6183200763584337,0.26341107399557584
MLP,1,component_34,0.7601399607144058,0.6114843435946095,0.3709624257534713
MLP,1,component_35,0.8300598281057506,0.6622924627344049,0.19225975514635868
MLP,1,component_36,0.6740616527142661,0.5372964505004107,0.3334945470120333
MLP,1,component_37,0.7634250655254589,0.6045201374495405,0.2817407310683636
MLP,1,component_38,0.7347255300598629,0.5773583075714191,0.29225244999522343
MLP,1,component_39,0.7462867820405771,0.5996123909108995,0.1973159130990903
MLP,1,component_40,0.7313527839727225,0.5911966035408965,0.21956792703999609
MLP,1,component_41,0.7665485986039283,0.6210230019878663,0.17170168370065375
MLP,1,component_42,0.8186352184775454,0.6614955449264402,0.1787895403407752
MLP,1,component_43,0.6956247748343647,0.5617363031824149,0.29710631737342624
MLP,1,component_44,0.7052789858814792,0.5658907486737528,0.288286484421471
MLP,1,component_45,0.7243221991092019,0.5760789469268949,0.3556283162898989
MLP,1,component_46,0.7546530086393461,0.6109416232200939,0.27433846468196327
MLP,1,component_47,0.7363220384722238,0.5812231328784813,0.19346758803294598
MLP,1,component_48,0.7252520486885476,0.5781147898602039,0.30786500386358484
MLP,1,component_49,0.6985524074629681,0.550458644257012,0.20761899512715404
MLP,1,component_50,0.7056803487181362,0.5635963580217516,0.5015389627584079
MLP,1,component_51,0.7200298714398531,0.5721525565773108,0.22647727887105315
MLP,1,component_52,0.7390957241357291,0.5934624787955415,0.3050681610736187
