source,target,lag,total_effect
3,9,2,-0.019702872111276276
3,10,2,0.017828129097002557
3,11,2,-0.009657893409833205
3,12,2,0.025183139992168133
3,13,2,-0.08435491554824662
3,14,2,-0.0668879787315983
3,15,2,-0.008615489878679184
3,16,2,0.01031007116375338
3,17,2,-0.015352177440127368
3,18,2,-0.0353000341386881
3,19,2,0.002626175378431773
3,20,2,-0.0062893792906201845
3,21,2,0.014437744889581635
3,22,2,0.0030378497231023354
3,23,2,0.0029173647754131005
3,24,2,-0.009907301669472296
3,25,2,0.08374112805514813
3,26,2,-0.0033826355746452478
3,27,2,-0.006504479345827286
3,28,2,-0.050056702217812554
3,29,2,-0.10965554523706282
3,30,2,-0.028620671514619448
3,31,2,-0.0539514468090339
3,32,2,0.02661951863384808
3,34,2,0.062916113409879
3,35,2,0.07748581095668022
3,36,2,0.05087707520566716
3,37,2,-0.010677561605501831
3,39,2,0.014676037963852633
3,41,2,0.010747607116367382
3,42,2,0.019876264626979823
3,43,2,-0.08181781053789686
3,44,2,-0.014956293372541975
3,47,2,0.010865434016772856
3,48,2,-0.019838252216097
3,49,2,-0.0072261281554584405
3,51,2,-0.030919700970957094
3,52,2,-0.08466468235318661
3,53,2,0.010634390399497306
3,54,2,0.09009739905776415
3,55,2,-0.01718678778966204
3,56,2,-0.006260109735201594
3,57,2,0.06239172655513023
3,58,2,-0.008835811042159952
3,59,2,-0.03545596273648997
4,1,2,-0.012252067104110333
4,2,2,0.01516506113908581
4,3,2,0.012114711594905509
4,5,2,-0.009986651195181934
4,6,2,0.06835757631064338
4,7,2,-0.0005002477854117849
4,8,2,-0.0028063358366182557
4,9,2,0.09689984162376333
4,10,2,-0.010456886444766077
4,11,2,0.03499564839872231
4,12,2,-0.017760152764428338
4,14,2,0.06442805167947792
4,15,2,0.006632243140872563
4,18,2,-0.013060229710163103
4,19,2,-0.0064231877448025915
4,20,2,0.003285643002425344
4,21,2,-0.004079676839611574
4,22,2,0.01564900694120493
4,23,2,0.14740904609928762
4,24,2,0.024226428450302283
4,25,2,-0.16222353669469322
4,29,2,0.01569249822361432
4,30,2,0.13725025025649656
4,31,2,-0.0080649770433539
4,34,2,-0.01078009616548884
4,35,2,0.00774680296797719
4,36,2,-0.025684906174977314
4,37,2,-0.005008501532848878
4,38,2,-0.11397825621626462
4,39,2,-0.15186443642965838
4,40,2,-0.07487327695967715
4,41,2,-0.00841352464042734
4,43,2,0.01917286038705191
4,44,2,-0.001244423781060541
4,45,2,0.012966550857887808
4,46,2,0.013068731279736333
4,47,2,0.05954855545149181
4,48,2,-0.013560548704670003
4,50,2,-0.005030717953220513
4,51,2,0.023454228375211286
4,52,2,-0.005715792976318256
4,53,2,-0.12498256042134681
4,54,2,0.006429761756465677
4,56,2,-0.004186283821059183
4,58,2,0.008395915957841376
5,0,2,0.0039949690757815825
5,2,2,-0.003932742151359677
5,6,2,-0.004216693715029663
5,7,2,-0.0650361360750818
5,9,2,-0.005379457861133074
5,11,2,-0.015378066461480572
5,13,2,-0.004686236459500347
5,14,2,-0.0021491461323036656
5,15,2,0.005592090534598089
5,19,2,-0.005870950756950615
5,20,2,0.004474653814235784
5,21,2,0.0353116681820128
5,23,2,-0.007124310046630864
5,24,2,-0.014261369928400491
5,25,2,-0.01569972748418414
5,27,2,-0.07230974185664922
5,29,2,-0.011042292532997391
5,32,2,0.007667879939008907
5,33,2,-0.009587429493815696
5,34,2,-0.004484226118756909
5,39,2,0.002303531351445913
5,40,2,0.0997807332467852
5,41,2,0.001823697651636249
5,42,2,-0.005356607805498936
5,43,2,0.005954516242201717
5,44,2,-0.01852969432246693
5,45,2,0.004865183040795896
5,48,2,0.012300436303717657
5,49,2,-0.014630889780766054
5,50,2,0.00807868709567684
5,51,2,0.007181270329340554
5,52,2,0.008411030647203905
5,54,2,0.011137003150133369
5,55,2,0.10765623138576404
5,58,2,-0.07084483888777025
5,59,2,-0.001957246454899795
6,0,2,0.03284509782623756
