source,mediator,target,lag,mce,mce_max_abs
0,13,50,4,-0.00045896702294971614,0.00045896702294971614
0,13,51,4,-0.00015240049177492332,0.00015240049177492332
0,13,52,4,0.0005101706009703125,0.0005101706009703125
0,13,53,4,-0.0002652465815950675,0.0002652465815950675
0,13,54,4,0.00025920673448726723,0.00025920673448726723
0,13,55,4,-0.0004296415774325234,0.0004296415774325234
0,13,57,4,3.987170609691913e-05,3.987170609691913e-05
0,13,58,4,0.0002086445800119699,0.0002086445800119699
1,13,0,4,0.0030843350412735615,0.0030843350412735615
1,13,2,4,0.00021157203235122428,0.00021157203235122428
1,13,3,4,0.0020862544939407313,0.0020862544939407313
1,13,6,4,-5.041976254307676e-05,5.041976254307676e-05
1,13,7,4,5.5257224532553537e-05,5.5257224532553537e-05
1,13,8,4,-0.0002742264589722654,0.0002742264589722654
1,13,9,4,7.977978771197755e-05,7.977978771197755e-05
1,13,10,4,-0.00213425208954639,0.00213425208954639
1,13,11,4,0.00019099891190325295,0.00019099891190325295
1,13,12,4,-6.701696096945292e-05,6.701696096945292e-05
1,13,14,4,0.0018777075749045608,0.0018777075749045608
1,13,15,4,5.956556890171147e-05,5.956556890171147e-05
1,13,17,4,4.577157010668409e-05,4.577157010668409e-05
1,13,18,4,4.0966070292684786e-05,4.0966070292684786e-05
1,13,19,4,0.00028951145884480167,0.00028951145884480167
1,13,20,4,-3.8312113150005406e-05,3.8312113150005406e-05
1,13,21,4,0.00020323782773228743,0.00020323782773228743
1,13,22,4,-0.00015539664383878993,0.00015539664383878993
1,13,24,4,-0.00025692026116236333,0.00025692026116236333
1,13,25,4,4.198879471446065e-05,4.198879471446065e-05
1,13,27,4,0.00010312926986257714,0.00010312926986257714
1,13,28,4,0.0001363735457007853,0.0001363735457007853
1,13,30,4,-0.0002163901579057513,0.0002163901579057513
1,13,34,4,-1.656231329361102e-05,1.656231329361102e-05
1,13,35,4,-6.45723843230115e-05,6.45723843230115e-05
1,13,36,4,-6.823703449895628e-05,6.823703449895628e-05
1,13,37,4,-2.624114871700549e-05,2.624114871700549e-05
1,13,40,4,-8.866755797567842e-05,8.866755797567842e-05
1,13,43,4,-0.00014640023066520014,0.00014640023066520014
1,13,44,4,0.0002758207570192836,0.0002758207570192836
1,13,45,4,0.0002299745964164726,0.0002299745964164726
1,13,47,4,-0.0018342663538410686,0.0018342663538410686
1,13,50,4,0.00018288490643495608,0.00018288490643495608
1,13,51,4,6.072712915139271e-05,6.072712915139271e-05
1,13,52,4,-0.00020328803151188624,0.00020328803151188624
1,13,53,4,0.00010569298845359426,0.00010569298845359426
1,13,54,4,-0.00010328628640756884,0.00010328628640756884
1,13,55,4,0.00017119957591794563,0.00017119957591794563
1,13,57,4,-1.588770624972799e-05,1.588770624972799e-05
1,13,58,4,-8.313874981347169e-05,8.313874981347169e-05
2,13,0,3,-0.015311596234883276,0.015311596234883276
2,13,1,4,-0.001163656605746917,0.001163656605746917
2,13,3,3,-0.010726719878254506,0.010726719878254506
2,13,4,4,2.597322309971957e-05,2.597322309971957e-05
2,13,5,4,0.00030886530845930515,0.00030886530845930515
2,13,6,4,0.0075512107408475596,0.0075512107408475596
2,13,7,4,-0.0006881234487306834,0.0006881234487306834
2,13,8,4,0.004131476047010849,0.004131476047010849
2,13,9,4,-0.0015586570232909713,0.0015586570232909713
2,13,10,3,0.010501240787431226,0.010501240787431226
2,13,11,4,-0.0022858618558084065,0.0022858618558084065
2,13,12,4,0.0012417569243084545,0.0012417569243084545
2,13,14,3,-0.008809585989956726,0.008809585989956726
2,13,15,4,-0.0013078035965143411,0.0013078035965143411
2,13,16,4,-0.00031019719004742605,0.00031019719004742605
2,13,17,4,-0.0006197861472149492,0.0006197861472149492
2,13,18,3,-0.0003171495501516734,0.0003171495501516734
2,13,19,4,-0.0036384787187333425,0.0036384787187333425
2,13,20,4,0.000589380996091439,0.000589380996091439
2,13,21,4,-0.0022273165456516975,0.0022273165456516975
2,13,22,4,0.002334830990723045,0.002334830990723045
2,13,23,4,0.0001938452524515126,0.0001938452524515126
2,13,24,4,0.003212800111034496,0.003212800111034496
2,13,25,4,-0.0006840164603364876,0.0006840164603364876
2,13,26,4,0.0016020988255527977,0.0016020988255527977
2,13,27,4,-0.0016679071073610434,0.0016679071073610434
2,13,28,4,-0.002961669827797317,0.002961669827797317
2,13,29,4,4.9238755148131585e-05,4.9238755148131585e-05
2,13,30,4,0.002363492505396329,0.002363492505396329
2,13,31,4,8.695000139264872e-05,8.695000139264872e-05
2,13,32,4,-0.0003537303299289297,0.0003537303299289297
2,13,34,4,0.0005410233298983984,0.0005410233298983984
2,13,35,4,0.0005236784598042572,0.0005236784598042572
2,13,36,4,0.0005839272194326367,0.0005839272194326367
2,13,37,4,0.0002765582393923407,0.0002765582393923407
2,13,38,4,-0.0006051340170209404,0.0006051340170209404
2,13,39,4,5.94449937059427e-07,5.94449937059427e-07
2,13,40,4,0.001563693964818525,0.001563693964818525
2,13,41,4,0.0002344352165567047,0.0002344352165567047
2,13,42,4,-0.00028749581741466246,0.00028749581741466246
2,13,43,4,0.002109209156921296,0.002109209156921296
2,13,44,4,-0.003137996925357457,0.003137996925357457
2,13,45,4,-0.002555558083163635,0.002555558083163635
2,13,46,4,0.0005801536000770481,0.0005801536000770481
2,13,47,3,0.009169840201533636,0.009169840201533636
2,13,48,4,-0.0001404963199485524,0.0001404963199485524
2,13,49,4,0.00017060464827418909,0.00017060464827418909
2,13,50,4,-0.002330838921652794,0.002330838921652794
2,13,51,3,-0.00047013495692325297,0.00047013495692325297
2,13,52,4,0.0022238703311153497,0.0022238703311153497
2,13,53,4,-0.0016159498276510156,0.0016159498276510156
2,13,54,4,0.0012035641128016663,0.0012035641128016663
2,13,55,4,-0.001834054065741622,0.001834054065741622
2,13,56,4,1.3569405741871692e-05,1.3569405741871692e-05
2,13,57,4,0.0008536058321727347,0.0008536058321727347
2,13,58,4,0.001345734526920838,0.001345734526920838
2,13,59,4,2.5556259515216104e-05,2.5556259515216104e-05
3,13,0,4,-0.00016613510354574618,0.00016613510354574618
3,13,1,4,5.892798449085024e-06,5.892798449085024e-06
3,13,2,4,1.9933867733037958e-05,1.9933867733037958e-05
3,13,6,4,-4.750442988595005e-06,4.750442988595005e-06
3,13,7,4,5.206218387589917e-06,5.206218387589917e-06
3,13,8,4,-2.583703479756838e-05,2.583703479756838e-05
3,13,9,4,7.516682230382377e-06,7.516682230382377e-06
3,13,10,4,0.0001199633140745518,0.0001199633140745518
3,13,11,4,1.7995511999963076e-05,1.7995511999963076e-05
3,13,12,4,-6.314195789440535e-06,6.314195789440535e-06
3,13,14,4,-0.00012843546746564571,0.00012843546746564571
3,13,15,4,5.612141447688089e-06,5.612141447688089e-06
3,13,17,4,4.312500165075395e-06,4.312500165075395e-06
3,13,18,4,3.859736174397638e-06,3.859736174397638e-06
3,13,19,4,2.7277155036403017e-05,2.7277155036403017e-05
3,13,20,4,-3.6096859666098075e-06,3.6096859666098075e-06
3,13,21,4,1.9148636666872082e-05,1.9148636666872082e-05
3,13,22,4,-1.4641141884472186e-05,1.4641141884472186e-05
3,13,24,4,-2.4206481579976125e-05,2.4206481579976125e-05
3,13,25,4,3.9560950982307774e-06,3.9560950982307774e-06
3,13,27,4,9.716620869015813e-06,9.716620869015813e-06
3,13,28,4,1.2848825962835653e-05,1.2848825962835653e-05
3,13,30,4,-2.038782129418215e-05,2.038782129418215e-05
3,13,34,4,-1.560465997698171e-06,1.560465997698171e-06
3,13,35,4,-6.083872967504317e-06,6.083872967504317e-06
3,13,36,4,-6.429148527243092e-06,6.429148527243092e-06
3,13,37,4,-2.472385323686044e-06,2.472385323686044e-06
3,13,40,4,-8.35406907640987e-06,8.35406907640987e-06
3,13,43,4,-1.3793518934115956e-05,1.3793518934115956e-05
3,13,44,4,2.598724617496745e-05,2.598724617496745e-05
3,13,45,4,2.166771825169375e-05,2.166771825169375e-05
3,13,47,4,9.539044606157732e-05,9.539044606157732e-05
3,13,50,4,1.723102763030379e-05,1.723102763030379e-05
3,13,51,4,5.721581188486424e-06,5.721581188486424e-06
3,13,52,4,-1.9153366760407686e-05,1.9153366760407686e-05
3,13,53,4,9.958168992039995e-06,9.958168992039995e-06
3,13,54,4,-9.731414634553057e-06,9.731414634553057e-06
3,13,55,4,1.6130060596267204e-05,1.6130060596267204e-05
3,13,57,4,-1.4969059541763974e-06,1.4969059541763974e-06
3,13,58,4,-7.833156508704059e-06,7.833156508704059e-06
4,13,0,4,0.002905424962062827,0.002905424962062827
4,13,1,4,7.90228469897021e-05,7.90228469897021e-05
4,13,2,4,0.00026731458633635213,0.00026731458633635213
4,13,3,4,0.00200805358224437,0.00200805358224437
4,13,6,4,-6.370377888607242e-05,6.370377888607242e-05
4,13,7,4,6.981575945488525e-05,6.981575945488525e-05
4,13,8,4,-0.0003464764771978837,0.0003464764771978837
4,13,9,4,0.00010079924417810866,0.00010079924417810866
4,13,10,4,-0.0019995900838098435,0.0019995900838098435
4,13,11,4,0.00024132109787249056,0.00024132109787249056
4,13,12,4,-8.46738153430851e-05,8.46738153430851e-05
4,13,14,4,0.001709535323680787,0.001709535323680787
4,13,15,4,7.525921660769298e-05,7.525921660769298e-05
4,13,17,4,5.783093442483442e-05,5.783093442483442e-05
4,13,18,4,5.175933705612451e-05,5.175933705612451e-05
4,13,19,4,0.00036578859219094095,0.00036578859219094095
4,13,20,4,-4.8406145956777016e-05,4.8406145956777016e-05
4,13,21,4,0.0002567845818012837,0.0002567845818012837
4,13,22,4,-0.0001963387556672136,0.0001963387556672136
4,13,24,4,-0.0003246106423935753,0.0003246106423935753
4,13,25,4,5.305151708910778e-05,5.305151708910778e-05
4,13,27,4,0.00013030057804011563,0.00013030057804011563
4,13,28,4,0.00017230367147823972,0.00017230367147823972
4,13,30,4,-0.0002734021359298085,0.0002734021359298085
4,13,34,4,-2.092596019262656e-05,2.092596019262656e-05
4,13,35,4,-8.15851698933584e-05,8.15851698933584e-05
4,13,36,4,-8.621533974597848e-05,8.621533974597848e-05
4,13,37,4,-3.315486331686816e-05,3.315486331686816e-05
4,13,40,4,-0.00011202866143657231,0.00011202866143657231
4,13,43,4,-0.00018497207152053108,0.00018497207152053108
4,13,44,4,0.000348490822469346,0.000348490822469346
4,13,45,4,0.00029056564530649184,0.00029056564530649184
4,13,47,4,-0.001735272314739372,0.001735272314739372
4,13,50,4,0.0002310693080154677,0.0002310693080154677
4,13,51,4,7.672681132802305e-05,7.672681132802305e-05
4,13,52,4,-0.00025684801269253155,0.00025684801269253155
4,13,53,4,0.00013353975557706815,0.00013353975557706815
4,13,54,4,-0.0001304989634897634,0.0001304989634897634
4,13,55,4,0.00021630526165903382,0.00021630526165903382
4,13,57,4,-2.007361548112853e-05,2.007361548112853e-05
4,13,58,4,-0.00010504318679519647,0.00010504318679519647
5,13,0,4,-0.0005845359092230915,0.0005845359092230915
5,13,1,4,-1.7209000356007993e-05,1.7209000356007993e-05
5,13,2,4,-5.8213756991417134e-05,5.8213756991417134e-05
5,13,3,4,-0.00040678650217478365,0.00040678650217478365
5,13,6,4,1.3872929099508977e-05,1.3872929099508977e-05
5,13,7,4,-1.5203950187604037e-05,1.5203950187604037e-05
5,13,8,4,7.545303727444835e-05,7.545303727444835e-05
5,13,9,4,-2.195130009897614e-05,2.195130009897614e-05
5,13,10,4,0.0004015849932358963,0.0004015849932358963
5,13,11,4,-5.255309087688273e-05,5.255309087688273e-05
5,13,12,4,1.843962567652825e-05,1.843962567652825e-05
5,13,14,4,-0.0003400752944414777,0.0003400752944414777
5,13,15,4,-1.638938528199848e-05,1.638938528199848e-05
5,13,17,4,-1.25939852715631e-05,1.25939852715631e-05
5,13,18,4,-1.1271758532587633e-05,1.1271758532587633e-05
5,13,19,4,-7.96586842037976e-05,7.96586842037976e-05
5,13,20,4,1.054152583380985e-05,1.054152583380985e-05
5,13,21,4,-5.5920611923932634e-05,5.5920611923932634e-05
5,13,22,4,4.275717523332919e-05,4.275717523332919e-05
5,13,24,4,7.069126048120031e-05,7.069126048120031e-05
5,13,25,4,-1.1553159766468368e-05,1.1553159766468368e-05
5,13,27,4,-2.837587836049954e-05,2.837587836049954e-05
5,13,28,4,-3.7522995649560964e-05,3.7522995649560964e-05
5,13,30,4,5.953945768573205e-05,5.953945768573205e-05
5,13,34,4,4.55709798017831e-06,4.55709798017831e-06
5,13,35,4,1.776700373656197e-05,1.776700373656197e-05
5,13,36,4,1.877532724903208e-05,1.877532724903208e-05
5,13,37,4,7.2202163849872415e-06,7.2202163849872415e-06
5,13,40,4,2.4396758000839493e-05,2.4396758000839493e-05
5,13,43,4,4.028182438255124e-05,4.028182438255124e-05
5,13,44,4,-7.589170621405406e-05,7.589170621405406e-05
5,13,45,4,-6.327719746891474e-05,6.327719746891474e-05
5,13,47,4,0.0003495981697681852,0.0003495981697681852
5,13,50,4,-5.032053330625806e-05,5.032053330625806e-05
5,13,51,4,-1.670898700513023e-05,1.670898700513023e-05
5,13,52,4,5.5934425425621485e-05,5.5934425425621485e-05
