source,target,lag,coefficient,p_value
8,8,1,0.3083654802321744,2.5933100575440246e-68
10,8,1,-0.043433987096493806,0.0019689019015634015
17,8,1,0.044125860057428086,0.005217047378041302
18,8,1,-0.0681549484250419,3.962813393663348e-06
20,8,1,0.06679985360600925,6.397040847762283e-06
21,8,1,-0.12610801082942646,2.2268804771781287e-14
24,8,1,0.08912578935999703,4.626461722622899e-07
29,8,1,0.047948144114230394,0.0007914571022499345
31,8,1,-0.10941143081287404,1.953213781965544e-14
32,8,1,0.0582909399588013,5.665189129197435e-05
44,8,1,-0.06418455118453095,1.3795068346988504e-05
50,8,1,0.07451838893745022,7.938835775259198e-07
55,8,1,0.0643101694973594,8.12667244935427e-06
1,9,1,0.15670360446176207,2.6846708702211665e-13
1,9,2,-0.08340466474732819,2.924011163224145e-06
2,9,1,-0.04466332668986972,0.006726925076535762
3,9,1,0.0838493783362158,1.4656140406676528e-07
9,9,1,0.484159971793956,1.5313564480163811e-179
9,9,3,0.0543044808480561,0.0002967170039754655
19,9,1,0.09613988012222713,9.701286354942736e-10
19,9,2,-0.0784965983026897,1.1720256714867898e-06
20,9,1,-0.06821598104230135,1.6506663964991106e-05
21,9,1,0.06768321642022247,7.211099285185367e-05
31,9,1,0.06806414343807017,3.092841191453855e-06
33,9,1,-0.11886553775489735,2.7574581393826334e-13
37,9,1,-0.0751393151066582,2.7331577167604466e-07
38,9,1,-0.06286939957536648,1.4598931591462677e-05
39,9,1,-0.07610945036100525,1.6610781250837718e-06
39,9,2,0.06764669335478397,9.764203328303511e-06
44,9,4,0.04710489453118479,0.001224643977242224
49,9,1,0.0678650702318204,9.229004747557046e-06
2,10,1,0.10446779483842233,1.2139859139078407e-10
6,10,1,-0.12320263626608906,9.541527786041908e-18
7,10,1,0.04467325095653815,0.0034072533156715777
10,10,1,0.52329841734655,1.2300012569162382e-242
13,10,1,0.063511240565527,1.3585723949303926e-05
14,10,1,0.04370845591204229,0.00588618803528299
15,10,1,-0.05029931404004346,0.0007927009026762233
22,10,1,-0.08970526941731431,3.3352409119917466e-09
29,10,3,0.049173970032761694,0.0005061421902087576
46,10,1,-0.060048548279256354,2.5803998870194657e-05
50,10,1,0.08242880110596573,5.0353064979702224e-08
54,10,2,-0.06104021543757696,2.439062378169352e-05
4,11,1,-0.08127213374202107,1.0278006513683853e-06
10,11,1,-0.11037386665711447,2.4410659916975635e-12
11,11,1,0.35041160356062795,2.0032634868431577e-90
11,11,3,0.05618500713680655,0.0005768796872467239
12,11,1,0.10474562663576939,2.2238982303686185e-11
14,11,1,0.07408647878452425,2.0298797565027095e-06
17,11,1,0.056792932067209256,0.00037779194344483505
20,11,1,0.04660187738941318,0.0034392560499301593
25,11,1,-0.13528658268692426,5.443324225305193e-19
26,11,1,0.07710405625121738,6.652163384986591e-07
31,11,1,-0.0899980724494665,5.3366977712838846e-09
32,11,1,-0.11251323868712912,2.1441250221219325e-12
35,11,1,-0.08765106141053729,5.400869178334525e-08
40,11,1,0.07293713959548359,2.6146081692152012e-06
41,11,1,-0.04352401005437396,0.0049162780867435555
50,11,1,0.049927333529938354,0.0027584195971340607
51,11,1,0.08116410481562583,1.6706874134081918e-07
54,11,1,0.06827279268730506,2.6113060092437708e-05
54,11,2,-0.0525152241579867,0.0011284266683606336
56,11,1,-0.04634877576282758,0.003073836591153455
59,11,1,-0.04449596476213163,0.003731524069092666
1,12,2,-0.08512231485567602,1.8085347870076505e-07
2,12,1,-0.09108922123329487,1.2108081349146533e-07
3,12,1,-0.0704355160176392,7.764983576055662e-06
4,12,1,0.044655469995802645,0.007359805081019181
6,12,1,-0.14604268353023409,1.3776475882976874e-19
7,12,2,-0.046477947245816054,0.004186461407368515
