dynamics,label,L,center,seed,repeat,noise_std,n_samples,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,4.0,-1.0,20767514,5,0.05,4096,1,1,identity,3.144566035110106,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767531,6,0.05,4096,1,1,variance_matched,3.138496116861488,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767531,6,0.05,4096,1,1,identity,3.1228396250694637,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767548,7,0.05,4096,1,1,variance_matched,3.133085158762896,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767548,7,0.05,4096,1,1,identity,3.126710513482422,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767565,8,0.05,4096,1,1,variance_matched,3.159777699270058,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767565,8,0.05,4096,1,1,identity,3.1488375509495734,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767582,9,0.05,4096,1,1,variance_matched,3.1367334452167377,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767582,9,0.05,4096,1,1,identity,3.1355155300220856,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768429,0,0.05,4096,1,1,variance_matched,3.1347997101271403,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768429,0,0.05,4096,1,1,identity,3.1315348571745623,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768446,1,0.05,4096,1,1,variance_matched,3.130505247625109,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768446,1,0.05,4096,1,1,identity,3.137593555988738,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768463,2,0.05,4096,1,1,variance_matched,3.144103057529557,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768463,2,0.05,4096,1,1,identity,3.134784339713054,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768480,3,0.05,4096,1,1,variance_matched,3.1448407060583183,"{""direction"": [1.0]}"
