dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,2.0,20262480,3,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.45155173126388,"{""direction"": [1.0]}"
identity,x,2.0,20262480,3,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,-0.00019918608226567297,{}
identity,x,2.0,20262480,3,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262497,4,fixed,0.05,2048,fixed_density,4.0,1,1,null,0.0015604526712684925,{}
identity,x,2.0,20262497,4,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.453100127450271,"{""projection"": [[1.0]]}"
identity,x,2.0,20262497,4,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.4306703904983893,"{""gain_matrix"": [[0.9999999999999996]]}"
identity,x,2.0,20262497,4,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.4578936376618454,"{""direction"": [1.0]}"
identity,x,2.0,20262497,4,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,0.00020398077395440153,{}
identity,x,2.0,20262497,4,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262514,5,fixed,0.05,2048,fixed_density,4.0,1,1,null,0.0011470048025145221,{}
identity,x,2.0,20262514,5,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.464896284797234,"{""projection"": [[1.0]]}"
identity,x,2.0,20262514,5,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.491619796602323,"{""gain_matrix"": [[0.9999999999999993]]}"
identity,x,2.0,20262514,5,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.477635838459909,"{""direction"": [1.0]}"
identity,x,2.0,20262514,5,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,-0.00038428057391503754,{}
identity,x,2.0,20262514,5,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262531,6,fixed,0.05,2048,fixed_density,4.0,1,1,null,-0.00042548367265958476,{}
identity,x,2.0,20262531,6,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.480503061685921,"{""projection"": [[1.0]]}"
identity,x,2.0,20262531,6,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.4648267776444586,"{""gain_matrix"": [[0.9999999999999998]]}"
