dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,ei_tm
linear_gain,gain=0.5,1.0,20361514,5,fixed,0.05,1024,fixed_density,4.0,1,1,1.1350930831365584
linear_gain,gain=0.5,1.0,20361531,6,fixed,0.05,1024,fixed_density,4.0,1,1,1.0649622466207966
linear_gain,gain=0.5,1.0,20361548,7,fixed,0.05,1024,fixed_density,4.0,1,1,1.1417179377638633
linear_gain,gain=0.5,1.0,20361565,8,fixed,0.05,1024,fixed_density,4.0,1,1,1.1090674653751174
linear_gain,gain=0.5,1.0,20361582,9,fixed,0.05,1024,fixed_density,4.0,1,1,1.1230772542081788
linear_gain,gain=0.5,2.0,20362429,0,fixed,0.05,2048,fixed_density,4.0,1,1,1.7953135515810112
linear_gain,gain=0.5,2.0,20362446,1,fixed,0.05,2048,fixed_density,4.0,1,1,1.7863140491749205
linear_gain,gain=0.5,2.0,20362463,2,fixed,0.05,2048,fixed_density,4.0,1,1,1.7959036129821953
linear_gain,gain=0.5,2.0,20362480,3,fixed,0.05,2048,fixed_density,4.0,1,1,1.7570439316394137
linear_gain,gain=0.5,2.0,20362497,4,fixed,0.05,2048,fixed_density,4.0,1,1,1.7542486626277518
linear_gain,gain=0.5,2.0,20362514,5,fixed,0.05,2048,fixed_density,4.0,1,1,1.7854584420343027
linear_gain,gain=0.5,2.0,20362531,6,fixed,0.05,2048,fixed_density,4.0,1,1,1.7791300226423297
linear_gain,gain=0.5,2.0,20362548,7,fixed,0.05,2048,fixed_density,4.0,1,1,1.772451451392071
linear_gain,gain=0.5,2.0,20362565,8,fixed,0.05,2048,fixed_density,4.0,1,1,1.8033705276098508
linear_gain,gain=0.5,2.0,20362582,9,fixed,0.05,2048,fixed_density,4.0,1,1,1.7604822224119097
linear_gain,gain=0.5,4.0,20363429,0,fixed,0.05,4096,fixed_density,4.0,1,1,2.463178186085247
linear_gain,gain=0.5,4.0,20363446,1,fixed,0.05,4096,fixed_density,4.0,1,1,2.4361244162864546
linear_gain,gain=0.5,4.0,20363463,2,fixed,0.05,4096,fixed_density,4.0,1,1,2.455925669743001
linear_gain,gain=0.5,4.0,20363480,3,fixed,0.05,4096,fixed_density,4.0,1,1,2.4630039271731365
linear_gain,gain=0.5,4.0,20363497,4,fixed,0.05,4096,fixed_density,4.0,1,1,2.4478020532012277
linear_gain,gain=0.5,4.0,20363514,5,fixed,0.05,4096,fixed_density,4.0,1,1,2.450176117833336
linear_gain,gain=0.5,4.0,20363531,6,fixed,0.05,4096,fixed_density,4.0,1,1,2.439941781252311
linear_gain,gain=0.5,4.0,20363548,7,fixed,0.05,4096,fixed_density,4.0,1,1,2.435456717153798
linear_gain,gain=0.5,4.0,20363565,8,fixed,0.05,4096,fixed_density,4.0,1,1,2.467806814620503
linear_gain,gain=0.5,4.0,20363582,9,fixed,0.05,4096,fixed_density,4.0,1,1,2.4463193940373564
linear_gain,gain=0.5,8.0,20364429,0,fixed,0.05,8192,fixed_density,4.0,1,1,3.1533738884446625
linear_gain,gain=0.5,8.0,20364446,1,fixed,0.05,8192,fixed_density,4.0,1,1,3.141396351980716
linear_gain,gain=0.5,8.0,20364463,2,fixed,0.05,8192,fixed_density,4.0,1,1,3.1518625945288763
linear_gain,gain=0.5,8.0,20364480,3,fixed,0.05,8192,fixed_density,4.0,1,1,3.1327448609291864
linear_gain,gain=0.5,8.0,20364497,4,fixed,0.05,8192,fixed_density,4.0,1,1,3.1532521331257266
linear_gain,gain=0.5,8.0,20364514,5,fixed,0.05,8192,fixed_density,4.0,1,1,3.134848201265494
linear_gain,gain=0.5,8.0,20364531,6,fixed,0.05,8192,fixed_density,4.0,1,1,3.1302022148646875
linear_gain,gain=0.5,8.0,20364548,7,fixed,0.05,8192,fixed_density,4.0,1,1,3.1367786442548393
linear_gain,gain=0.5,8.0,20364565,8,fixed,0.05,8192,fixed_density,4.0,1,1,3.134069260875018
linear_gain,gain=0.5,8.0,20364582,9,fixed,0.05,8192,fixed_density,4.0,1,1,3.1372825913737667
linear_gain,gain=0.5,12.0,20365429,0,fixed,0.05,12288,fixed_density,4.0,1,1,3.5471739402339453
linear_gain,gain=0.5,12.0,20365446,1,fixed,0.05,12288,fixed_density,4.0,1,1,3.5554207444871957
linear_gain,gain=0.5,12.0,20365463,2,fixed,0.05,12288,fixed_density,4.0,1,1,3.5555642842641526
linear_gain,gain=0.5,12.0,20365480,3,fixed,0.05,12288,fixed_density,4.0,1,1,3.5430635198031393
linear_gain,gain=0.5,12.0,20365497,4,fixed,0.05,12288,fixed_density,4.0,1,1,3.5483101358566422
linear_gain,gain=0.5,12.0,20365514,5,fixed,0.05,12288,fixed_density,4.0,1,1,3.5523391747035062
linear_gain,gain=0.5,12.0,20365531,6,fixed,0.05,12288,fixed_density,4.0,1,1,3.5350910689985473
linear_gain,gain=0.5,12.0,20365548,7,fixed,0.05,12288,fixed_density,4.0,1,1,3.5547962909885826
linear_gain,gain=0.5,12.0,20365565,8,fixed,0.05,12288,fixed_density,4.0,1,1,3.5436939639244023
linear_gain,gain=0.5,12.0,20365582,9,fixed,0.05,12288,fixed_density,4.0,1,1,3.5414207124103085
linear_gain,gain=0.5,16.0,20366429,0,fixed,0.05,16384,fixed_density,4.0,1,1,3.8309105879976277
linear_gain,gain=0.5,16.0,20366446,1,fixed,0.05,16384,fixed_density,4.0,1,1,3.8314190278162523
linear_gain,gain=0.5,16.0,20366463,2,fixed,0.05,16384,fixed_density,4.0,1,1,3.840681919834636
linear_gain,gain=0.5,16.0,20366480,3,fixed,0.05,16384,fixed_density,4.0,1,1,3.8359334868255326
linear_gain,gain=0.5,16.0,20366497,4,fixed,0.05,16384,fixed_density,4.0,1,1,3.8354673203164102
linear_gain,gain=0.5,16.0,20366514,5,fixed,0.05,16384,fixed_density,4.0,1,1,3.833542863979198
linear_gain,gain=0.5,16.0,20366531,6,fixed,0.05,16384,fixed_density,4.0,1,1,3.826131325905062
linear_gain,gain=0.5,16.0,20366548,7,fixed,0.05,16384,fixed_density,4.0,1,1,3.8363401456785198
linear_gain,gain=0.5,16.0,20366565,8,fixed,0.05,16384,fixed_density,4.0,1,1,3.835015717682797
linear_gain,gain=0.5,16.0,20366582,9,fixed,0.05,16384,fixed_density,4.0,1,1,3.8320086042969703
linear_gain,gain=0.5,0.5,20360429,0,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.1454701377926892
linear_gain,gain=0.5,0.5,20360446,1,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.0650461848771107
linear_gain,gain=0.5,0.5,20360463,2,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.1593909312888355
linear_gain,gain=0.5,0.5,20360480,3,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.1522487579756335
linear_gain,gain=0.5,0.5,20360497,4,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.1216794949664028
linear_gain,gain=0.5,0.5,20360514,5,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.115634479696257
linear_gain,gain=0.5,0.5,20360531,6,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.1853351520307485
linear_gain,gain=0.5,0.5,20360548,7,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.1239739087748206
linear_gain,gain=0.5,0.5,20360565,8,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.0832864708647587
linear_gain,gain=0.5,0.5,20360582,9,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.0923997754094148
linear_gain,gain=0.5,1.0,20361429,0,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.109772189483797
linear_gain,gain=0.5,1.0,20361446,1,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.086819650416536
linear_gain,gain=0.5,1.0,20361463,2,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.0863863923826116
linear_gain,gain=0.5,1.0,20361480,3,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.1081573014214938
linear_gain,gain=0.5,1.0,20361497,4,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.126701653300982
linear_gain,gain=0.5,1.0,20361514,5,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.1350930831365584
linear_gain,gain=0.5,1.0,20361531,6,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.0649622466207966
linear_gain,gain=0.5,1.0,20361548,7,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.1417179377638633
linear_gain,gain=0.5,1.0,20361565,8,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.1090674653751174
linear_gain,gain=0.5,1.0,20361582,9,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.1230772542081788
linear_gain,gain=0.5,2.0,20362429,0,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1435150500145372
linear_gain,gain=0.5,2.0,20362446,1,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1272202474754855
linear_gain,gain=0.5,2.0,20362463,2,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1486380606196875
linear_gain,gain=0.5,2.0,20362480,3,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1069130406054575
linear_gain,gain=0.5,2.0,20362497,4,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1012305802704692
linear_gain,gain=0.5,2.0,20362514,5,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1348445359995223
linear_gain,gain=0.5,2.0,20362531,6,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1248743137748884
linear_gain,gain=0.5,2.0,20362548,7,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.1238698587814224
linear_gain,gain=0.5,2.0,20362565,8,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.148041531270593
linear_gain,gain=0.5,2.0,20362582,9,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.111176910158304
linear_gain,gain=0.5,4.0,20363429,0,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.126417387871155
linear_gain,gain=0.5,4.0,20363446,1,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1070961344527013
linear_gain,gain=0.5,4.0,20363463,2,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1222922843902632
linear_gain,gain=0.5,4.0,20363480,3,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1290922712542961
linear_gain,gain=0.5,4.0,20363497,4,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1175189671307388
linear_gain,gain=0.5,4.0,20363514,5,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1177700060226239
linear_gain,gain=0.5,4.0,20363531,6,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1040473682794671
linear_gain,gain=0.5,4.0,20363548,7,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1098503538355775
linear_gain,gain=0.5,4.0,20363565,8,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1348865322463493
linear_gain,gain=0.5,4.0,20363582,9,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.1170518252466957
