region_index,region,target_burden,ace,acs,amce,direct_out_strength,direct_in_strength,ace_rank,acs_rank,amce_rank,requested_g,actual_g,tau,sample_count,whole_system_phi_eid,target_burden_sum,mean_rate_hz,stabilization_start_s,runge_path_scale_factor,runge_path_spectral_radius,runge_path_alpha,runge_path_max_length
40,Left-Amygdala,0.6103733107757656,0.0027153211661807074,0.0033452539954753275,7.55427848684819e-06,0.18572588483645391,0.22882054484180592,35,41,34,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
28,ctx-lh-rostralmiddlefrontal,0.6087711918589059,0.0059306330450576,0.001669747095385025,8.238595815865461e-06,0.40921954016758166,0.11372250010343644,16,76,29,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
69,ctx-rh-rostralmiddlefrontal,0.6080971114961995,0.004143433481420777,0.0031777996470227473,1.0865934729317194e-05,0.2868462834402069,0.2149297551663977,26,44,16,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
64,ctx-rh-caudalmiddlefrontal,0.6013208934857264,0.005551838596086642,0.002534327641454691,1.1392475616070654e-05,0.37931291917724674,0.16852091613201356,22,56,13,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
0,ctx-lh-cuneus,0.5724019850259692,0.0006432046410714282,0.005379013782817957,2.916357338426248e-06,0.0425547702422565,0.37114726566021944,78,3,69,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
4,ctx-lh-bankssts,0.5721558819713106,0.004094670992644943,0.0023534541437265884,8.032760010654156e-06,0.27734047662975503,0.1602397012503145,27,63,31,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
14,ctx-lh-postcentral,0.5719500083882159,0.006796904909031048,0.0015793070430841821,8.902112683911729e-06,0.4458623881731331,0.10736540394524957,14,77,25,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
25,ctx-lh-parsopercularis,0.5689596402604065,0.005811342000728799,0.0015689623443236103,7.5178191369191775e-06,0.3897783698420116,0.10581406102099777,18,78,35,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
13,ctx-lh-inferiorparietal,0.5677286161367231,0.002547818359990558,0.002494643723483902,5.3733027855145786e-06,0.16808559709664153,0.1721497558290858,37,57,45,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
27,ctx-lh-precentral,0.563922621297191,0.00819179159871814,0.0014027074628525905,9.396907690654804e-06,0.544659355725976,0.09465649213455733,6,82,22,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
31,ctx-lh-medialorbitofrontal,0.5592213191611872,0.0021548650251939404,0.0038705322176145834,6.9261175712907525e-06,0.14100290123671164,0.2647696737585691,44,30,38,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
78,Right-Hippocampus,0.5588341233149946,0.00432979220145416,0.0020835077415606376,7.4030328086556015e-06,0.29305165358291807,0.14025242637039473,25,69,36,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
23,ctx-lh-caudalmiddlefrontal,0.5584718270210617,0.00590433653839312,0.002628760277306338,1.2841452538108626e-05,0.4059992335097322,0.178024351759747,17,53,10,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
41,ctx-rh-cuneus,0.553735850778654,0.0006511500270472382,0.004846189122679921,2.6713951745104348e-06,0.04522590843340697,0.3349660713586227,77,9,75,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
37,Left-Hippocampus,0.5478081285263884,0.007296466039735132,0.0015069880138223182,9.041681045578843e-06,0.5146489336532245,0.10128346824334142,11,81,24,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
48,ctx-rh-inferiortemporal,0.5437098021735521,0.003944052988853828,0.002404199500467346,7.830505768161665e-06,0.265882847834614,0.16266871740224553,28,61,32,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
45,ctx-rh-bankssts,0.5394594656133949,0.0010890456579376638,0.004434551182402443,4.008831381277577e-06,0.0763259576634572,0.30099931235147326,57,16,54,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
60,ctx-rh-isthmuscingulate,0.5334936424404163,0.0010444128059716431,0.003583539525482128,3.0530093539482993e-06,0.07068416627188696,0.2396624087636628,59,37,67,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
